PROGRAM,Total Families,Total Female Headed Families,Total Male Headed Families,Total Population,Average Family Size,Total Minors Under 18,Average Minors per Family,Total Minors as Percent of Population,All Average Total Gross Income,All Average Gross Rent,Total HOH 62 Years and Over,Total HOH 62 Years and Over as Percent of Families,Total Female Headed HOH 62 Years and Over,Total Male Headed HOH 62 Years and Over,Total Elderly Single Person Families,Total Elderly Population,Total 62 Years and Over as Percent of Population,Total Families on Welfare,Total Families on Welfare and HOH Elderly,Total Families on Full Welfare,Total Families on Welfare as Percent of Families,Total Single Parent/Grandparent Families with Minors,Total Female Headed Single Parent/Grandparent with Minors,Total Male Headed Single Parent/Grandparent with Minors,Total Single Parent/Grandparent Families on Welfare,Total Single Parent/Grandparent with Minors as % of Families,Total Families - 1 or More Employed,Total Families - 1 or More Employed as Percent of Families,Total Families - 2nd Adult Employed,All Families Average Years in Public Housing,Residents Under 4,Residents 4 to 5,Residents 6 to 9,Residents 10 to 13,Residents 14 to 17,Residents 18 to 20,Residents 21 to 49,Residents 50 to 61,Residents 62 Plus,Total Fixed Income Families,Total Fixed Income Families as Percent of Families
ALL PROGRAMS,95316.0,73709.33,21538.67,198804.0,2.2,45804.0,0.5333,24.4067,25274.6667,604.3333,42862.67,37.8533,31357.33,11497.33,25458.0,50694.67,20.6833,14671.33,1587.33,8230.67,17.4967,19156.0,18182.67,957.33,7240.0,19.94,3659000.0,37.3033,5086.67,22.0,4695.33,4009.33,10474.67,12298.67,14326.0,10608.0,65109.33,26587.33,,43524.67,0.4338
BRONX,23530.0,18700.67,4808.0,50522.0,2.1667,12655.33,0.5333,25.35,24251.0,584.3333,9881.33,35.8533,7441.33,2438.0,6106.67,11328.0,18.8333,3864.0,402.0,2152.67,17.9033,5353.33,5100.0,248.0,1993.33,21.88,909466.67,37.4333,1125.33,20.8,1340.0,1108.0,2889.33,3358.67,3959.33,2935.33,16985.33,6618.0,,10358.0,0.4164
BROOKLYN,29647.33,23250.0,6380.0,63035.33,2.2,14971.33,0.5667,25.14,25523.3333,612.6667,12638.67,35.0667,9451.33,3184.0,7508.67,14893.33,18.7367,4658.67,500.67,2600.67,17.4133,6092.0,5771.33,317.33,2207.33,20.8333,1170733.33,39.2567,1669.33,21.5333,1532.0,1309.33,3358.0,4013.33,4758.67,3498.0,21187.33,8484.67,,13171.33,0.4183
FEDERAL,131286.0,101586.0,29610.0,272972.0,2.1,62730.0,0.5,22.98,26105.0,622.0,59366.0,45.22,43526.0,15831.0,35343.0,70229.0,25.73,20174.0,2202.0,11346.0,15.37,26428.0,25086.0,1320.0,10001.0,20.13,5053500.0,38.49,7008.0,27.1,6494.0,5492.0,14363.0,16880.0,19501.0,14427.0,89029.0,36556.0,,60097.0,0.4578
FORMER NEW YORK CITY,2680.0,2149.33,526.67,5331.33,2.0667,1309.33,0.5333,25.0267,25225.3333,605.0,1019.33,33.6867,768.0,250.67,664.0,1156.67,18.98,436.67,33.33,248.67,16.8567,626.0,596.0,28.67,234.0,23.25,99800.0,37.1933,93.33,21.1667,140.67,109.33,306.0,328.67,424.67,285.33,1871.33,708.67,,1184.67,0.4267
FORMER NEW YORK STATE,5112.0,3836.0,1272.0,11491.33,2.3,2674.67,0.5667,24.3733,25870.6667,602.3333,2266.0,39.08,1572.0,692.67,1232.0,2718.67,20.3733,785.33,86.0,418.0,17.5133,911.33,862.67,48.67,338.67,17.84,190200.0,36.3767,321.33,22.0667,225.33,238.67,593.33,716.67,900.67,704.67,3885.33,1508.0,,2275.33,0.4304
MANHATTAN,30084.67,22219.33,7839.33,60673.33,2.0667,12168.0,0.4333,21.71,25445.3333,604.0,15115.33,44.0367,10640.67,4472.0,8606.0,18275.33,25.2967,4169.33,486.67,2332.67,16.53,4974.0,4677.33,290.0,1966.67,15.8233,1118933.33,34.3333,1679.33,24.3333,1156.0,1012.0,2796.0,3355.33,3848.67,2927.33,18993.33,8309.33,,14474.0,0.4801
MIXED FINANCE (LLC1),7792.0,5985.33,1798.67,16822.67,2.2333,3984.0,0.5333,24.5767,25647.6667,603.3333,3285.33,37.2233,2340.0,943.33,1896.0,3875.33,19.9333,1222.0,119.33,666.67,17.2833,1537.33,1458.67,77.33,572.67,19.7,290000.0,36.66,414.67,21.8,366.0,348.0,899.33,1045.33,1325.33,990.0,5756.67,2216.67,,3460.0,0.4291
QUEENS,14616.0,11548.0,3063.0,29530.0,2.0,6983.0,0.5,23.65,27108.0,646.0,6344.0,43.4,4655.0,1689.0,3828.0,7588.0,25.7,2305.0,232.0,1375.0,15.77,3268.0,3150.0,117.0,1237.0,22.36,573200.0,39.22,775.0,25.0,807.0,691.0,1670.0,1845.0,1970.0,1456.0,9535.0,3968.0,,6617.0,0.4527
STATEN ISLAND,2310.0,1840.67,469.33,4886.67,2.4667,1354.0,0.8,30.67,24456.3333,585.3333,998.0,35.8133,720.67,277.33,684.67,1139.33,17.9967,442.67,43.33,228.0,25.0767,558.0,534.0,24.0,248.0,24.14,77733.33,33.6767,96.0,17.8667,129.33,119.33,318.0,341.33,446.0,276.67,1586.67,530.0,,1110.0,0.4339
