join_table,status,n_total,n_error_skipped,n_counted,average_improvement,stdev_improvement,average_total_token_input,stdev_total_token_input,average_total_token_output,stdev_total_token_output,average_total_duration_seconds,stdev_total_duration_seconds,n_used_for_improvement,n_used_for_input_tokens,n_used_for_output_tokens,n_used_for_duration
Building Permits-Chicago,ok,9,0,9,0.008521346314451969,0.005899737135478678,225329.22222222222,175130.75723925378,25226.444444444445,5730.946499294665,2052.9037598017603,343.7855897686492,9,9,9,9
COVID-Chicago,ok,9,3,6,0.6544564159499622,0.22104359856854258,345731.8333333333,113412.50341371831,41274.166666666664,9336.886342173533,1615.748014396367,421.2319717876745,6,6,6,6
COVID-NYC,ok,9,1,8,0.011275862105458195,0.008803507034459123,153593.5,92145.40294091104,30552.75,8224.482072273175,3028.5332685825415,1228.3879834336728,8,8,8,8
Demo-Chicago,ok,9,0,9,0.4524421856852695,0.25528159481066914,151146,188598.00117379293,23899.777777777777,18678.14213042733,935.0784981031385,769.8297801691194,9,9,9,9
Demo-NYC,ok,9,0,9,0.4332913987843249,0.052128477379899806,228034.77777777778,135736.39102390502,28906.555555555555,6543.138106274219,1746.6258471483986,466.5742460064417,9,9,9,9
Economic-Chicago,ok,9,0,9,0.1702254576825552,0.14167970414169123,196343,121173.4678487828,24998.777777777777,9514.450375320923,1037.8416360490437,347.16159857724017,9,9,9,9
Economic-NYC,ok,9,0,9,0.5406399908645728,0.20107678610893945,169224.88888888888,99934.72604586011,27989.777777777777,6057.64268873994,2083.192217582009,320.06809940383994,9,9,9,9
Education-Chicago,ok,9,0,9,0.1765181158097753,0.10108002196569445,247609.88888888888,115714.53386831367,27306.333333333332,5608.3921938466465,1326.8990918279935,183.15305516241764,9,9,9,9
Education-NYC,ok,9,1,8,0.5160073234138493,0.040319154526329934,183018.5,150059.6670623294,44000.5,13072.436181304756,2561.1827935241163,711.9937678748382,8,8,8,8
Environment_NYC,ok,9,0,9,0.0012467674422229748,0.0012537869222156908,96167.66666666667,31548.782413113822,21380.555555555555,6143.7165688024525,1855.0242241908693,511.022160442229,9,9,9,9
Food Inspections-Chicago,ok,9,0,9,0.0035101916152813833,0.009273440601849533,42154.11111111111,2255.224514568585,11439.555555555555,780.2639154656441,1095.4495689862717,189.03981274124996,9,9,9,9
Food Inspections-NYC,ok,9,8,1,0.0,,323425,,37174,,6486.236829824746,,1,1,1,1
