join_table,status,n_total,n_error_skipped,n_counted,average_improvement,stdev_improvement,average_total_token_input,stdev_total_token_input,average_total_token_output,stdev_total_token_output,average_total_duration_seconds,stdev_total_duration_seconds,n_used_for_improvement,n_used_for_input_tokens,n_used_for_output_tokens,n_used_for_duration
Building Permits-Chicago,ok,9,7,2,0.06282538254190384,0.002181731279230373,789000.5,658976.1439115228,59468,22708.027171024787,5371.090719058178,1308.1161951587858,2,2,2,2
COVID-Chicago,ok,9,2,7,0.5130865610627743,0.3003614611097738,323405.5714285714,218711.17030828365,41659.57142857143,18858.789505666784,1453.5507264435291,657.9193095420453,7,7,7,7
COVID-NYC,ok,9,4,5,0.016450406870531453,0.007937409272224178,138675.6,35566.77116073372,45192.6,8766.375408342949,4466.633860368282,2204.3119668301606,5,5,5,5
Demo-Chicago,ok,9,0,9,-7.4167279218514715,22.78100647815632,201691.44444444444,295028.33882786206,27771.11111111111,30190.58068108514,1099.8042045161128,1234.422590340992,9,9,9,9
Demo-NYC,ok,9,1,8,0.46646331421987963,0.004635851721889018,206769,132507.32698447822,24098.125,5983.942475790641,1628.9264710149728,258.11453720389807,8,8,8,8
Economic-Chicago,ok,9,0,9,0.19209914996980706,0.19602045684735295,261526.22222222222,304641.75195292,37998.444444444445,36353.5294989053,1718.813850387724,1529.2766775101825,9,9,9,9
Economic-NYC,ok,9,1,8,0.49651571759277513,0.012173178139687655,172854.625,118434.25818322465,22562.375,7008.556972678878,2148.9723569913767,457.61360614832165,8,8,8,8
Education-Chicago,ok,9,0,9,0.24900002302653934,0.10769490087159068,708931,128163.43719251602,78522.11111111111,21071.014352923572,3795.9309795422273,547.1486786464576,9,9,9,9
Education-NYC,ok,9,3,6,0.5767622792633899,0.05337748484422682,202800.33333333334,174520.39069365695,39394,14246.198047198417,2454.7748564416543,443.81899571088366,6,6,6,6
Environment_NYC,ok,9,0,9,0.10816261328037174,0.037882466118276274,156266.77777777778,43810.60652335738,40366.666666666664,11213.503020911887,3756.5589534884525,1048.4298445845684,9,9,9,9
Food Inspections-Chicago,ok,9,0,9,0.22109342686204264,0.04397923700962384,80419.77777777778,6624.611625932833,27873.333333333332,980.1979391939161,2964.690928271454,114.95270303568982,9,9,9,9
Food Inspections-NYC,failure,9,9,0,,,,,,,,,,,,
