join_table,status,n_total,n_error_skipped,n_counted,average_improvement,stdev_improvement,average_total_token_input,stdev_total_token_input,average_total_token_output,stdev_total_token_output,average_total_duration_seconds,stdev_total_duration_seconds,n_used_for_improvement,n_used_for_input_tokens,n_used_for_output_tokens,n_used_for_duration
Building Permits-Chicago,ok,9,2,7,0.015911701376982564,0.011253814774415975,476473.14285714284,258518.79928316534,41973.42857142857,7716.5782757459465,6024.229320229696,611.1945790616671,7,7,7,7
COVID-Chicago,ok,9,2,7,0.6762666861101844,0.2501113448386402,251114.57142857142,84404.55362490253,18344.571428571428,3992.9685221708946,837.381861477026,176.97612730436094,7,7,7,7
COVID-NYC,ok,9,6,3,0.017499684419224375,0.015264213550513253,160265.66666666666,90777.0892920308,39798.666666666664,17086.75054928038,5130.797553735475,2990.4281650761513,3,3,3,3
Demo-Chicago,ok,9,1,8,0.5081572976305347,0.23408400927370737,51757.875,73.87525682817333,11006.625,1562.2964724587785,466.83456404390745,53.10254653659642,8,8,8,8
Demo-NYC,ok,9,0,9,0.38189005667558074,0.15213524984691948,177515.44444444444,115968.63474783937,22761.11111111111,10723.351661729233,1614.4802567000604,725.4961189197178,9,9,9,9
Economic-Chicago,ok,9,1,8,0.2667097299971823,0.11803191446745362,235201,221975.4190548391,21650.75,12510.48363516432,976.3969451279845,468.7281742916123,8,8,8,8
Economic-NYC,ok,9,1,8,0.6140079096767492,0.0,207965.875,124220.90286885525,24024.875,6287.663464219894,1797.4641364379786,321.11162563697945,8,8,8,8
Education-Chicago,ok,9,0,9,0.17704265087254578,0.10048854840446618,634265.7777777778,211452.0718406288,45597.88888888889,10573.019039570065,3292.969424714645,411.30299355157507,9,9,9,9
Education-NYC,ok,9,0,9,0.4905314375639557,0.03273199106510233,128818,42408.9015950661,28262,3855.3150325232828,1908.8729496743117,386.06364183145456,9,9,9,9
Environment_NYC,ok,9,0,9,0.09547659826206902,0.05024697303168072,308719.77777777775,289984.0431419364,49016.11111111111,21933.07799560087,5255.806352860604,1376.2383914727307,9,9,9,9
Food Inspections-Chicago,ok,9,0,9,0.0,0.0,62626.333333333336,1380.7662727630625,16758.555555555555,1786.9670611899307,2365.189153191737,718.8927454406008,9,9,9,9
Food Inspections-NYC,failure,9,9,0,,,,,,,,,,,,
