join_table,status,n_total,n_error_skipped,n_counted,average_improvement,stdev_improvement,average_total_token_input,stdev_total_token_input,average_total_token_output,stdev_total_token_output,average_total_duration_seconds,stdev_total_duration_seconds,n_used_for_improvement,n_used_for_input_tokens,n_used_for_output_tokens,n_used_for_duration
Building Permits-Chicago,ok,9,5,4,0.012960710142868093,0.012415448290272003,825334.75,379668.93808894,76398.75,21172.0954619518,5272.617511596531,938.2791133409139,4,4,4,4
COVID-Chicago,ok,9,3,6,0.6757445714140108,0.2586821744713,538110.5,132263.60073240104,49932.5,10842.74003654058,2289.5662785461172,520.6026842384924,6,6,6,6
COVID-NYC,ok,9,7,2,0.0,0.0,248105.5,91630.43224005876,42133.5,9549.477079924325,4781.072127676569,515.2147777283341,2,2,2,2
Demo-Chicago,ok,9,1,8,0.3337066024113531,0.3713392361373709,617381.25,355577.23467452993,68629.625,42904.49482259572,2601.3995574603323,1435.236048131744,8,8,8,8
Demo-NYC,ok,9,3,6,0.07607323019092424,0.18341375511246868,485548.5,188064.18782187108,42594.666666666664,13835.83183862346,2574.938265958801,1240.7189541799257,6,6,6,6
Economic-Chicago,ok,9,0,9,0.0630268594124323,0.14848729421885376,487155.6666666667,371327.43212695717,48845.11111111111,31887.462698701995,2033.1973257983725,987.0785254141464,9,9,9,9
Economic-NYC,ok,9,1,8,0.22695912276233454,0.3133388900163042,461864.625,244796.7609385021,31053.25,10461.3789414753,2733.1487021520734,895.2285081611919,8,8,8,8
Education-Chicago,ok,9,0,9,0.06473888514530184,0.08797067272576699,400354.22222222225,248512.2227465773,49047.333333333336,23930.794972169228,2618.477326500747,1031.5835859046122,9,9,9,9
Education-NYC,ok,9,2,7,0.282320794742627,0.2657856101129031,604374,220367.77629983323,86018.85714285714,24120.44552814459,4435.94089030368,1219.3179563445142,7,7,7,7
Environment_NYC,ok,9,1,8,0.002522828883669795,0.00019450776534857804,1179206.5,117602.6656354839,121855.5,11008.320554406628,5519.770743158413,491.09931170359863,8,8,8,8
Food Inspections-Chicago,ok,9,0,9,0.006517233839812324,0.01298243835532539,88813.33333333333,23656.042135150165,26859.88888888889,7563.484125131163,2470.948891269043,629.6552118497319,9,9,9,9
Food Inspections-NYC,failure,9,9,0,,,,,,,,,,,,
