join_table,status,n_total,n_error_skipped,n_counted,average_improvement,stdev_improvement,improvement_ci_low,improvement_ci_high,average_total_token_input,stdev_total_token_input,average_total_token_output,stdev_total_token_output,average_total_duration_seconds,stdev_total_duration_seconds,n_used_for_improvement,n_used_for_input_tokens,n_used_for_output_tokens,n_used_for_duration
Building Permits-Chicago,ok,9,3,6,0.0,0.0,0.0,0.0,430268.8333333333,361867.1952815931,9230.166666666666,6947.683453257399,3241.961157583942,958.1269238326043,6,6,6,6
COVID-Chicago,ok,9,0,9,0.6325382593684231,0.2316261023113686,0.4911982696745289,0.7754882072459817,593478.2222222222,225284.8800512241,27955.11111111111,4799.608276840008,443.9759542360488,194.9404969070339,9,9,9,9
COVID-NYC,ok,9,0,9,0.02158289789534197,0.006645241429413486,0.01759348343013868,0.02545070074871916,618069.3333333334,179798.48175666,27050.777777777777,8395.0529149282,4230.005164286122,1056.3416215877644,9,9,9,9
Demo-Chicago,ok,9,0,9,0.2633152931329426,0.39413818547685897,0.0025702882688852175,0.49414437587009896,468742.3333333333,241096.83736675186,25333.444444444445,12476.724230653565,336.84621851125524,161.84013366964578,9,9,9,9
Demo-NYC,ok,9,0,9,0.40125646260134346,0.15047223866029918,0.30072442397892657,0.45174040488463285,215309.44444444444,118632.45646545375,9965.111111111111,3455.364432460216,2703.683576884783,838.1011163004107,9,9,9,9
Economic-Chicago,ok,9,0,9,0.2941744425571367,0.0483370122397342,0.26174811209719745,0.3229853097863463,645863.7777777778,847335.8913342421,21794.88888888889,24209.148696538487,285.11549304798245,251.2207181290933,9,9,9,9
Economic-NYC,ok,9,1,8,0.5298203636272076,0.034016905544620356,0.517793571334416,0.5538739482127909,170577.375,55194.17214302223,9750.25,3827.564415805808,3866.645558179356,1898.5725702549712,8,8,8,8
Education-Chicago,ok,9,0,9,0.12874994457729255,0.12227261455307484,0.052225810141233224,0.20516830504875103,2452270.777777778,1844779.5395738876,30951.222222222223,12292.099299730882,1413.9967251658027,1390.870832520572,9,9,9,9
Education-NYC,ok,9,0,9,0.46913845433431467,0.05042980684638135,0.43667684479497404,0.5021865385228641,246362.75,142406.36073950992,13010.375,5156.089712660167,3597.4300987948664,2085.4977982660866,8,8,8,8
Environment_NYC,ok,9,0,9,0.00011410440848096886,0.00035590031727333334,-9.863942015556995e-06,0.00035357430553561997,274942.77777777775,119469.02191967776,12353.222222222223,3960.900521907164,3446.4974354385504,2244.0784083152967,9,9,9,9
Food Inspections-Chicago,ok,9,0,9,0.0,0.0,0.0,0.0,114641.77777777778,10608.431172630779,9707.555555555555,3341.374833474655,2193.2542401012033,2072.709528091729,9,9,9,9
Food Inspections-NYC,failure,9,9,0,,,,,,,,,,,,,,
