qwen,join_table,status,average_improvement,stdev_improvement,improvement_ci_low,improvement_ci_high,mini,average_improvement,stdev_improvement,improvement_ci_low,improvement_ci_high,4o,average_improvement,stdev_improvement,improvement_ci_low,improvement_ci_high
,COVID-Chicago,ok,0.337,0.3829,0.1129,0.5979,,0.5038,0.1892,0.4333,0.5785,,0.5523,0.148,0.5021,0.6133
,Demo-Chicago,ok,0.3287,0.3181,0.1472,0.5222,,0.3963,0.3353,0.259,0.5145,,0.4619,0.2118,0.3795,0.5402
,Economic-Chicago,ok,0.129,0.1366,0.041,0.2248,,0.2675,0.0581,0.2436,0.2884,,0.1681,0.1419,0.1131,0.2225
,Education-Chicago,ok,0.0775,0.1127,0.0069,0.1503,,0.147,0.1067,0.1016,0.1841,,0.0558,0.1273,0.0096,0.1064
,Food Inspections-Chicago,ok,0.0012,0.0018,0.0004,0.0024,,0.0142,0.0041,0.0127,0.016,,0.0124,0.0039,0.011,0.014
,Building Permits-Chicago,,0.0575,0.1725,0,0.1725,,0.3326,0.1312,0.2817,0.3805,,0.4346,0.06,0.4119,0.4566
,,,,,,,,,,,,,,,,
,COVID-NYC,ok,0.0064,0.0062,0.0027,0.0106,,0.0239,0.0042,0.0222,0.0254,,0.0057,0.0087,0.0026,0.0093
,Demo-NYC,ok,0,0,0,0,,0.4617,0.03,0.4494,0.4713,,0.4718,0.0266,0.4605,0.4782
,Economic-NYC,ok,0.0782,0.2211,0,0.2345,,0.6017,0.0162,0.5955,0.6082,,0.6074,0.0132,0.6016,0.6112
,Education-NYC,ok,0.4425,0.1992,0.3098,0.5552,,0.5643,0.0589,0.5414,0.5863,,0.5369,0.0658,0.5116,0.5618
,Environment_NYC,ok,0.0371,0.1161,-0.0035,0.1155,,0.1935,0.1636,0.1281,0.2558,,0.2992,0.0914,0.2591,0.3282
,Food Inspections-NYC,failure,,,,,,,,,,,,,,
