join_table,status,n_total,n_error_skipped,n_counted,average_improvement,average_total_token_input,average_total_token_output,average_total_duration_seconds,n_used_for_improvement,n_used_for_input_tokens,n_used_for_output_tokens,n_used_for_duration
Building Permits-Chicago,ok,9,0,9,0.010897375949790159,1543570.3333333333,46254.666666666664,8440.271828963732,9,9,9,9
COVID-Chicago,ok,9,0,9,0.6243006937426713,2243442.6666666665,42463.666666666664,1457.3173900174183,9,9,9,9
COVID-NYC,ok,9,0,9,0.007761171511012238,836580.3333333334,25841.88888888889,3630.8818127250092,9,9,9,9
Demo-Chicago,ok,9,0,9,0.3320069228664356,961499.8888888889,33826.333333333336,764.1051818430424,9,9,9,9
Demo-NYC,ok,9,0,9,0.4420170800631089,232633.77777777778,9103.777777777777,1722.9506718011367,9,9,9,9
Economic-Chicago,ok,9,0,9,0.24128794582003882,963774.8888888889,23891.88888888889,654.3704547940029,9,9,9,9
Economic-NYC,ok,9,0,9,0.5459908653556769,257453.77777777778,11016.777777777777,3638.8560735378414,9,9,9,9
Education-Chicago,ok,9,0,9,0.19721690100617534,4963172.111111111,73560.33333333333,4809.803062520094,9,9,9,9
Education-NYC,ok,9,0,9,0.5073572331377904,811463.5555555555,18557.333333333332,2644.6579914264794,9,9,9,9
Environment_NYC,ok,9,0,9,0.003292033431074944,3419633.111111111,64260.22222222222,5655.992338313825,9,9,9,9
Food Inspections-Chicago,ok,9,0,9,0.011925542130481767,156511.77777777778,17745.222222222223,4150.206286227123,9,9,9,9
Food Inspections-NYC,
