join_table,status,n_total,n_error_skipped,n_counted,average_improvement,average_total_token_input,average_total_token_output,average_total_duration_seconds,n_used_for_improvement,n_used_for_input_tokens,n_used_for_output_tokens,n_used_for_duration
Building Permits-Chicago,ok,9,7,2,0.06282538254190384,789000.5,59468,5371.090719058178,2,2,2,2
COVID-Chicago,ok,9,2,7,0.5130865610627743,323405.5714285714,41659.57142857143,1453.5507264435291,7,7,7,7
COVID-NYC,ok,9,4,5,0.016450406870531453,138675.6,45192.6,4466.633860368282,5,5,5,5
Demo-Chicago,ok,9,0,9,-7.4167279218514715,201691.44444444444,27771.11111111111,1099.8042045161128,9,9,9,9
Demo-NYC,ok,9,1,8,0.46646331421987963,206769,24098.125,1628.9264710149728,8,8,8,8
Economic-Chicago,ok,9,0,9,0.19209914996980706,261526.22222222222,37998.444444444445,1718.813850387724,9,9,9,9
Economic-NYC,ok,9,1,8,0.49651571759277513,172854.625,22562.375,2148.9723569913767,8,8,8,8
Education-Chicago,ok,9,0,9,0.24900002302653934,708931,78522.11111111111,3795.9309795422273,9,9,9,9
Education-NYC,ok,9,3,6,0.5767622792633899,202800.33333333334,39394,2454.7748564416543,6,6,6,6
Food Inspections-Chicago,ok,9,0,9,0.22109342686204264,80419.77777777778,27873.333333333332,2964.690928271454,9,9,9,9
Food Inspections-NYC,failure,9,9,0,,,,,,,,
