join_table,status,n_total,n_error_skipped,n_counted,average_improvement,average_total_token_input,average_total_token_output,average_total_duration_seconds,n_used_for_improvement,n_used_for_input_tokens,n_used_for_output_tokens,n_used_for_duration
Building Permits-Chicago,ok,9,2,7,0.015911701376982564,476473.14285714284,41973.42857142857,6024.229320229696,7,7,7,7
COVID-Chicago,ok,9,2,7,0.6762666861101844,251114.57142857142,18344.571428571428,837.381861477026,7,7,7,7
COVID-NYC,ok,9,6,3,0.017499684419224375,160265.66666666666,39798.666666666664,5130.797553735475,3,3,3,3
Demo-Chicago,ok,9,1,8,0.5081572976305347,51757.875,11006.625,466.83456404390745,8,8,8,8
Demo-NYC,ok,9,0,9,0.38189005667558074,177515.44444444444,22761.11111111111,1614.4802567000604,9,9,9,9
Economic-Chicago,ok,9,1,8,0.2667097299971823,235201,21650.75,976.3969451279845,8,8,8,8
Economic-NYC,ok,9,1,8,0.6140079096767492,207965.875,24024.875,1797.4641364379786,8,8,8,8
Education-Chicago,ok,9,0,9,0.17704265087254578,634265.7777777778,45597.88888888889,3292.969424714645,9,9,9,9
Education-NYC,ok,9,0,9,0.4905314375639557,128818,28262,1908.8729496743117,9,9,9,9
Environment_NYC,ok,9,0,9,0.09547659826206902,308719.77777777775,49016.11111111111,5255.806352860604,9,9,9,9
Food Inspections-Chicago,ok,9,0,9,0.0,62626.333333333336,16758.555555555555,2365.189153191737,9,9,9,9
Food Inspections-NYC,failure,9,9,0,,,,,,,,
