join_table,status,n_total,n_error_skipped,n_counted,average_improvement,average_total_token_input,average_total_token_output,average_total_duration_seconds,n_used_for_improvement,n_used_for_input_tokens,n_used_for_output_tokens,n_used_for_duration
Building Permits-Chicago,ok,9,0,9,0.019580387356176447,600661.5555555555,63854.88888888889,5274.395668995877,9,9,9,9
COVID-Chicago,ok,9,1,8,0.5939695781232633,280943.25,37213.125,1464.8559244538192,8,8,8,8
COVID-NYC,ok,9,5,4,0.005903247582913496,177852.5,49747.5,3779.944582100492,4,4,4,4
Demo-Chicago,ok,9,0,9,0.4196083051982034,207807.77777777778,33242.555555555555,1309.3567014779483,9,9,9,9
Demo-NYC,ok,9,2,7,0.4491722612816535,136078.7142857143,25685,1718.6647180047419,7,7,7,7
Economic-Chicago,ok,9,0,9,0.2659422509624575,204578.66666666666,28294.666666666668,1170.5561115882463,9,9,9,9
Economic-NYC,ok,9,1,8,0.6025380656394104,164321.25,26756,1995.682561158901,8,8,8,8
Education-Chicago,ok,9,0,9,0.16436694626554274,867363,88928.11111111111,3999.532802215881,9,9,9,9
Education-NYC,ok,9,1,8,0.48915096370536704,122282.75,37530.25,2352.882018637145,8,8,8,8
Environment_NYC,ok,9,3,6,0.001718349965471951,284264.6666666667,65949,5336.972566719788,6,6,6,6
Food Inspections-Chicago,ok,9,0,9,0.0034820597156403807,86449,28757.333333333332,2550.5245767030865,9,9,9,9
Food Inspections-NYC,failure,9,9,0,,,,,,,,
