join_table,status,n_total,n_error_skipped,n_counted,average_improvement,average_total_token_input,average_total_token_output,average_total_duration_seconds,n_used_for_improvement,n_used_for_input_tokens,n_used_for_output_tokens,n_used_for_duration
Building Permits-Chicago,ok,9,0,9,0.008521346314451969,225329.22222222222,25226.444444444445,2052.9037598017603,9,9,9,9
COVID-Chicago,ok,9,3,6,0.6544564159499622,345731.8333333333,41274.166666666664,1615.748014396367,6,6,6,6
COVID-NYC,ok,9,1,8,0.011275862105458195,153593.5,30552.75,3028.5332685825415,8,8,8,8
Demo-Chicago,ok,9,0,9,0.4524421856852695,151146,23899.777777777777,935.0784981031385,9,9,9,9
Demo-NYC,ok,9,0,9,0.4332913987843249,228034.77777777778,28906.555555555555,1746.6258471483986,9,9,9,9
Economic-Chicago,ok,9,0,9,0.1702254576825552,196343,24998.777777777777,1037.8416360490437,9,9,9,9
Economic-NYC,ok,9,0,9,0.5406399908645728,169224.88888888888,27989.777777777777,2083.192217582009,9,9,9,9
Education-Chicago,ok,9,0,9,0.1765181158097753,247609.88888888888,27306.333333333332,1326.8990918279935,9,9,9,9
Education-NYC,ok,9,1,8,0.5160073234138493,183018.5,44000.5,2561.1827935241163,8,8,8,8
Environment_NYC,ok,9,0,9,0.0012467674422229748,96167.66666666667,21380.555555555555,1855.0242241908693,9,9,9,9
Food Inspections-Chicago,ok,9,0,9,0.0035101916152813833,42154.11111111111,11439.555555555555,1095.4495689862717,9,9,9,9
Food Inspections-NYC,ok,9,8,1,0.0,323425,37174,6486.236829824746,1,1,1,1
