join_table,status,n_total,n_error_skipped,n_counted,average_improvement,average_total_token_input,average_total_token_output,average_total_duration_seconds,n_used_for_improvement,n_used_for_input_tokens,n_used_for_output_tokens,n_used_for_duration
Building Permits-Chicago,ok,9,5,4,0.012960710142868093,825334.75,76398.75,5272.617511596531,4,4,4,4
COVID-Chicago,ok,9,3,6,0.6757445714140108,538110.5,49932.5,2289.5662785461172,6,6,6,6
COVID-NYC,ok,9,7,2,0.0,248105.5,42133.5,4781.072127676569,2,2,2,2
Demo-Chicago,ok,9,1,8,0.3337066024113531,617381.25,68629.625,2601.3995574603323,8,8,8,8
Demo-NYC,ok,9,3,6,0.07607323019092424,485548.5,42594.666666666664,2574.938265958801,6,6,6,6
Economic-Chicago,ok,9,0,9,0.0630268594124323,487155.6666666667,48845.11111111111,2033.1973257983725,9,9,9,9
Economic-NYC,ok,9,1,8,0.22695912276233454,461864.625,31053.25,2733.1487021520734,8,8,8,8
Education-Chicago,ok,9,0,9,0.06473888514530184,400354.22222222225,49047.333333333336,2618.477326500747,9,9,9,9
Education-NYC,ok,9,2,7,0.282320794742627,604374,86018.85714285714,4435.94089030368,7,7,7,7
Environment_NYC,ok,9,1,8,0.002522828883669795,1179206.5,121855.5,5519.770743158413,8,8,8,8
Food Inspections-Chicago,ok,9,0,9,0.006517233839812324,88813.33333333333,26859.88888888889,2470.948891269043,9,9,9,9
Food Inspections-NYC,failure,9,9,0,,,,,,,,
