join_table,status,n_total,n_error_skipped,n_counted,average_improvement,stdev_improvement,improvement_ci_low,improvement_ci_high,average_total_token_input,stdev_total_token_input,average_total_token_output,stdev_total_token_output,average_total_duration_seconds,stdev_total_duration_seconds,n_used_for_improvement,n_used_for_input_tokens,n_used_for_output_tokens,n_used_for_duration
Building Permits-Chicago,ok,9,0,9,0.010897375949790159,0.007095817048302288,0.006921802805074373,0.01621371681233319,1543570.3333333333,332709.3439836038,46254.666666666664,4943.927689600648,8440.271828963732,3116.9833533838973,9,9,9,9
COVID-Chicago,ok,9,0,9,0.6243006937426713,0.22114494894429765,0.4928731739249861,0.7634653888998717,2243442.6666666665,1173234.9734593877,42463.666666666664,13487.532928597431,1457.3173900174183,646.1643252976706,9,9,9,9
COVID-NYC,ok,9,0,9,0.007761171511012238,0.008591995329348368,0.0027015372988306646,0.013637009773072572,836580.3333333334,926685.1229743575,25841.88888888889,24957.373326556444,3630.8818127250092,3169.3645553754127,9,9,9,9
Demo-Chicago,ok,9,0,9,0.3320069228664356,0.3042704471216852,0.1247411376929211,0.5042198132690684,961499.8888888889,686287.3889556846,33826.333333333336,16041.312999564592,764.1051818430424,426.37340695006776,9,9,9,9
Demo-NYC,ok,9,0,9,0.4420170800631089,0.004354030820232232,0.4395401445881517,0.44500370722764243,232633.77777777778,50722.4845206191,9103.777777777777,1679.1282543166392,1722.9506718011367,163.33749436458555,9,9,9,9
Economic-Chicago,ok,9,0,9,0.24128794582003882,0.15587063707534837,0.12356551610107555,0.314351409146974,963774.8888888889,1006279.5079703805,23891.88888888889,21087.401081240692,654.3704547940029,552.8119621283521,9,9,9,9
Economic-NYC,ok,9,0,9,0.5459908653556769,0.0005255426045329104,0.5456074867245467,0.5462564988052806,257453.77777777778,124782.76456083366,11016.777777777777,6332.090388998285,3638.8560735378414,1950.7596687391404,9,9,9,9
Education-Chicago,ok,9,0,9,0.19721690100617534,0.03056664375975455,0.1787910752370521,0.21670952117685027,4963172.111111111,3569101.136290496,73560.33333333333,28006.083330233807,4809.803062520094,1669.2418195974615,9,9,9,9
Education-NYC,ok,9,0,9,0.5073572331377904,0.039021401204568776,0.48215321536487993,0.5313238523180639,811463.5555555555,389596.35261611186,18557.333333333332,3486.662336676725,2644.6579914264794,176.11772758403097,9,9,9,9
Environment_NYC,ok,9,0,9,0.003292033431074944,0.0012923149388217106,0.0024013393719605324,0.0038955913634492034,3419633.111111111,2015297.2962575178,64260.22222222222,21668.0640562198,5655.992338313825,1047.971916900369,9,9,9,9
Food Inspections-Chicago,ok,9,0,9,0.011925542130481767,0.014143837949734384,0.0029604390339136558,0.020890645227049878,156511.77777777778,69842.81112930983,17745.222222222223,14196.5584806475,4150.206286227123,1529.4697818324244,9,9,9,9
Food Inspections-NYC,failure,9,9,0,,,,,,,,,,,,,,
