join_table,status,n_total,n_error_skipped,n_counted,average_improvement,stdev_improvement,improvement_ci_low,improvement_ci_high,average_total_token_input,stdev_total_token_input,average_total_token_output,stdev_total_token_output,average_total_duration_seconds,stdev_total_duration_seconds,n_used_for_improvement,n_used_for_input_tokens,n_used_for_output_tokens,n_used_for_duration
Building Permits-Chicago,ok,9,0,9,0.019580387356176447,0.012169607682002734,0.011795475371763299,0.02623804389582011,600661.5555555555,468449.33125422196,63854.88888888889,23186.78143061497,5274.395668995877,1168.389121526895,9,9,9,9
COVID-Chicago,ok,9,1,8,0.5939695781232633,0.21605530968464876,0.4644642537264262,0.7405439336670925,280943.25,110073.72417189958,37213.125,7355.482939131675,1464.8559244538192,306.8215864199579,8,8,8,8
COVID-NYC,ok,9,5,4,0.005903247582913496,0.006546958547688163,0.0010669706059505124,0.01247098892747639,177852.5,97213.92837277314,49747.5,24826.51681166732,3779.944582100492,1976.103310874324,4,4,4,4
Demo-Chicago,ok,9,0,9,0.4196083051982034,0.2538907545251524,0.27132288335055543,0.5829581454023453,207807.77777777778,218156.01138679273,33242.555555555555,24567.94871937374,1309.3567014779483,959.5719962512937,9,9,9,9
Demo-NYC,ok,9,2,7,0.4491722612816535,0.0033977082701124035,0.44647636839579163,0.45085620521496533,136078.7142857143,44986.66350417749,25685,3626.8317670753167,1718.6647180047419,367.2955584024444,7,7,7,7
Economic-Chicago,ok,9,0,9,0.2659422509624575,0.11867877780207835,0.1878279265987804,0.32824857697703297,204578.66666666666,149560.75537553293,28294.666666666668,21918.33157998117,1170.5561115882463,882.5981569089718,9,9,9,9
Economic-NYC,ok,9,1,8,0.6025380656394104,0.03244161799181767,0.5795983775647325,0.6140079096767492,164321.25,109009.13870700408,26756,5795.553887001903,1995.682561158901,446.7669101644792,8,8,8,8
Education-Chicago,ok,9,0,9,0.16436694626554274,0.12365031918446441,0.08194511892063976,0.2423603845522988,867363,299638.25285917684,88928.11111111111,25980.99357436338,3999.532802215881,989.8293783071547,9,9,9,9
Education-NYC,ok,9,1,8,0.48915096370536704,0.024308741405495715,0.47372357112335917,0.5046352070229977,122282.75,47213.27385613378,37530.25,11817.302348070574,2352.882018637145,682.8423658588872,8,8,8,8
Environment_NYC,ok,9,3,6,0.001718349965471951,0.0013672603186195885,0.0007639423172536852,0.0026973517261525046,284264.6666666667,37321.39385750038,65949,9533.027053355088,5336.972566719788,647.6302261528566,6,6,6,6
Food Inspections-Chicago,ok,9,0,9,0.0034820597156403807,0.009410430572952731,0.0,0.009803526093580373,86449,12513.750287184093,28757.333333333332,7009.627236879291,2550.5245767030865,620.4429138373781,9,9,9,9
Food Inspections-NYC,failure,9,9,0,,,,,,,,,,,,,,
