Police Precinct/Geographic Location,Location Type,Shootings,Overall DV,Population,Rate Population,Shooting Rate,Overall DV Rate,Actual  Shootings White,Expected Shootings White,Actual Shootings Black,Expected Shootings Black,Actual Shootings Asian PI,Expected Shootings Asian PI,Actual Shootings  American Indian AN,Expected Shootings American Indian AN,Actual Shootings Other,Expected Shootings Other,Actual  DIRs White,Expected DIRs White,Actual DIRs Black,Expected DIRs Black,Actual DIRs Asian PI,Expected DIRS Asian PI,Actual DIRs  American Indian AN,Expected DIRs American Indian AN,Actual DIRs Other,Expected DIRs Other,NYC Population White,NYC Population Black,NYC Population Asian PI,NYC Population American Indian AN,NYC Population Other,Actual Shootings Male,Expected Shootings Male,Actual Shootings Female,Expected Shootings Female,Actual DIR Male,Expected DIRs Male,Actual DIRs Female,Expected DIRs Female,NYC Population Male,NYC Population Female
1,Police Precinct,6,2375,74684,224052,0.27,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Police Precinct,14,2529,52533,157599,0.89,160.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Police Precinct,5,1282,63195,189585,0.26,67.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Police Precinct,34,5530,58019,174057,1.95,317.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Police Precinct,26,5376,78647,235941,1.1,227.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Police Precinct,19,3522,59220,177660,1.07,198.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Police Precinct,14,3112,96200,288600,0.49,107.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Police Precinct,29,2969,24370,73110,3.97,406.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Police Precinct,4,1885,82829,248487,0.16,75.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Police Precinct,10,3105,60539,181617,0.55,170.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Police Precinct,11,4374,211479,634437,0.17,68.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Police Precinct,14,2457,108963,326889,0.43,75.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Police Precinct,1,60,26,78,128.21,7692.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Police Precinct,112,12804,75217,225651,4.96,567.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Police Precinct,28,4993,106687,320061,0.87,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Police Precinct,117,7982,50975,152925,7.65,521.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Police Precinct,30,4084,50221,150663,1.99,271.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Police Precinct,87,5686,47140,141420,6.15,402.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Police Precinct,49,5318,62344,187032,2.62,284.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Police Precinct,151,13411,73512,220536,6.85,608.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Police Precinct,43,4899,76919,230757,1.86,212.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
