Hospitalizations - Total,Cases - Total,Deaths - Total,Date
58.0,788.0,12.0,01/20/2021
32.0,369.0,2.0,08/04/2020
7.0,178.0,0.0,05/08/2023
10.0,96.0,1.0,05/19/2023
178.0,990.0,40.0,04/20/2020
26.0,365.0,1.0,10/13/2022
12.0,120.0,1.0,04/21/2023
24.0,92.0,1.0,01/14/2024
40.0,527.0,0.0,07/17/2022
48.0,736.0,12.0,01/22/2021
18.0,213.0,9.0,02/20/2021
60.0,883.0,5.0,10/24/2020
15.0,186.0,5.0,02/25/2022
109.0,968.0,49.0,05/15/2020
50.0,458.0,20.0,05/29/2020
17.0,151.0,0.0,02/19/2024
44.0,356.0,4.0,12/18/2022
34.0,518.0,2.0,07/24/2022
22.0,327.0,5.0,03/08/2021
22.0,357.0,6.0,02/26/2021
43.0,492.0,3.0,01/11/2023
6.0,51.0,1.0,05/29/2023
29.0,263.0,13.0,02/06/2021
24.0,382.0,2.0,08/27/2020
40.0,731.0,3.0,03/29/2021
22.0,266.0,13.0,07/01/2020
16.0,178.0,0.0,03/17/2022
34.0,419.0,12.0,01/30/2021
14.0,59.0,1.0,06/06/2023
154.0,570.0,32.0,04/10/2020
16.0,100.0,7.0,06/02/2021
54.0,745.0,0.0,12/07/2022
33.0,286.0,5.0,05/18/2021
38.0,1211.0,0.0,06/02/2022
30.0,403.0,1.0,10/19/2022
8.0,32.0,0.0,03/13/2020
17.0,149.0,4.0,02/28/2021
17.0,339.0,3.0,07/30/2020
30.0,442.0,5.0,10/10/2020
81.0,1384.0,25.0,12/16/2020
128.0,283.0,20.0,03/29/2020
32.0,410.0,4.0,03/27/2021
39.0,425.0,14.0,01/30/2022
22.0,324.0,3.0,07/14/2020
30.0,547.0,2.0,08/26/2022
42.0,753.0,3.0,12/08/2022
11.0,217.0,0.0,07/21/2021
7.0,143.0,0.0,05/01/2023
112.0,2927.0,18.0,11/12/2020
30.0,181.0,3.0,01/14/2023
25.0,451.0,1.0,07/31/2022
11.0,85.0,1.0,08/13/2023
21.0,406.0,5.0,09/24/2020
19.0,264.0,2.0,03/23/2023
29.0,538.0,5.0,09/01/2021
17.0,406.0,2.0,09/26/2022
37.0,219.0,15.0,06/19/2020
26.0,413.0,3.0,09/29/2021
49.0,1165.0,3.0,10/19/2020
18.0,196.0,3.0,11/07/2023
30.0,856.0,2.0,06/23/2022
5.0,28.0,5.0,06/13/2021
16.0,177.0,3.0,08/08/2020
33.0,388.0,3.0,08/26/2020
8.0,120.0,0.0,07/17/2021
15.0,173.0,0.0,08/15/2023
6.0,58.0,0.0,08/05/2023
27.0,367.0,2.0,09/27/2022
139.0,1173.0,39.0,05/01/2020
49.0,947.0,6.0,04/05/2021
29.0,337.0,4.0,07/13/2020
24.0,381.0,1.0,10/04/2022
21.0,395.0,2.0,09/04/2020
44.0,658.0,7.0,09/08/2021
90.0,1381.0,17.0,01/07/2021
42.0,605.0,6.0,08/25/2021
11.0,136.0,0.0,09/12/2020
63.0,1307.0,4.0,10/22/2020
26.0,264.0,3.0,06/30/2020
8.0,599.0,0.0,04/06/2022
71.0,655.0,8.0,04/21/2021
28.0,374.0,3.0,11/21/2021
139.0,3352.0,14.0,11/10/2020
19.0,430.0,3.0,09/14/2020
110.0,2637.0,6.0,11/05/2020
26.0,228.0,3.0,09/25/2021
64.0,548.0,6.0,05/03/2021
22.0,222.0,8.0,02/13/2021
55.0,1089.0,12.0,01/12/2021
20.0,162.0,1.0,11/01/2023
15.0,530.0,0.0,04/30/2022
5.0,36.0,1.0,06/16/2021
37.0,423.0,2.0,01/30/2023
6.0,51.0,0.0,04/01/2024
33.0,387.0,0.0,10/12/2022
5.0,18.0,1.0,07/04/2021
155.0,404.0,8.0,03/27/2020
19.0,313.0,2.0,10/07/2022
45.0,529.0,1.0,09/02/2022
13.0,204.0,1.0,08/22/2023
18.0,242.0,0.0,11/14/2023
101.0,289.0,3.0,03/23/2020
67.0,872.0,10.0,12/11/2021
18.0,370.0,2.0,10/29/2021
10.0,335.0,0.0,03/14/2023
28.0,207.0,0.0,12/03/2023
19.0,407.0,3.0,01/24/2023
61.0,1016.0,4.0,10/23/2020
50.0,939.0,0.0,06/21/2022
29.0,583.0,0.0,11/07/2022
48.0,385.0,13.0,02/08/2021
27.0,485.0,1.0,02/15/2023
10.0,81.0,4.0,03/06/2022
27.0,364.0,1.0,10/05/2022
6.0,59.0,0.0,07/12/2023
18.0,393.0,0.0,02/14/2023
7.0,106.0,1.0,02/26/2022
17.0,173.0,0.0,05/11/2023
65.0,860.0,6.0,04/08/2021
18.0,168.0,2.0,02/04/2023
40.0,349.0,0.0,11/26/2022
48.0,525.0,0.0,01/03/2023
27.0,213.0,1.0,09/05/2022
148.0,774.0,43.0,04/17/2020
160.0,534.0,39.0,04/18/2020
14.0,182.0,3.0,10/08/2022
14.0,39.0,2.0,06/11/2021
39.0,608.0,9.0,02/01/2021
125.0,877.0,45.0,05/13/2020
51.0,899.0,3.0,07/08/2022
32.0,389.0,1.0,10/18/2022
49.0,762.0,2.0,08/22/2022
23.0,115.0,0.0,09/17/2023
12.0,148.0,0.0,04/05/2023
132.0,968.0,44.0,05/06/2020
31.0,218.0,9.0,06/22/2020
116.0,2070.0,30.0,12/03/2020
30.0,395.0,5.0,02/28/2023
68.0,858.0,4.0,04/06/2021
12.0,162.0,2.0,03/03/2022
37.0,194.0,0.0,12/10/2023
33.0,412.0,8.0,02/09/2021
16.0,170.0,0.0,10/16/2023
131.0,778.0,45.0,05/14/2020
19.0,133.0,0.0,09/04/2023
27.0,1470.0,1.0,05/12/2022
4.0,87.0,0.0,04/22/2023
31.0,289.0,1.0,07/21/2020
14.0,145.0,1.0,05/09/2023
7.0,46.0,0.0,06/12/2023
22.0,176.0,0.0,01/28/2023
14.0,176.0,1.0,10/25/2023
