Hospitalizations - Total,Cases - Total,Deaths - Total,Date,average_temperature,humidity_level,public_health_measures_index,vaccination_rate,population_density,healthcare_capacity,air_quality_index,average_age_of_cases,comorbidity_prevalence,economic_activity_index
58.0,788,12,01/20/2021,,,,,,,,,,
32.0,369,2,08/04/2020,25.0,70.0,,,4600.0,,50.0,,,
7.0,178,0,05/08/2023,22.0,65.0,,75.0,4600.0,,45.0,,,
10.0,96,1,05/19/2023,18.0,65.0,,75.0,11883.0,,45.0,,,
178.0,990,40,04/20/2020,10.0,60.0,75.0,,4600.0,,45.0,,,
26.0,365,1,10/13/2022,15.0,,,,,,,,,
12.0,120,1,04/21/2023,12.0,60.0,,75.0,4600.0,,45.0,,,
24.0,92,1,01/14/2024,,,,,,,,,,
40.0,527,0,07/17/2022,,,,,,,,,,
48.0,736,12,01/22/2021,,,,,,,,,,
18.0,213,9,02/20/2021,32.0,,,,,,,,,
60.0,883,5,10/24/2020,50.0,70.0,,,11883.0,,45.0,,,
15.0,186,5,02/25/2022,,,,,,,,,,
109.0,968,49,05/15/2020,15.0,70.0,,,11883.0,,45.0,,,
50.0,458,20,05/29/2020,18.3,70.0,,,11883.0,,45.0,,,
17.0,151,0,02/19/2024,,,,,11883.0,,,,,
44.0,356,4,12/18/2022,,,,,,,,,,
34.0,518,2,07/24/2022,77.0,70.0,,68.5,11883.0,,45.0,,,
22.0,327,5,03/08/2021,5.0,70.0,,10.0,11883.0,,45.0,,,
22.0,357,6,02/26/2021,,,,,,,,,,
43.0,492,3,01/11/2023,,,,,11883.0,,,,,
6.0,51,1,05/29/2023,18.3,65.0,,75.2,11883.0,,42.0,,,
29.0,263,13,02/06/2021,,,,,,,,,,
24.0,382,2,08/27/2020,25.0,70.0,,,4600.0,,45.0,,,
40.0,731,3,03/29/2021,8.0,65.0,,15.0,11883.0,,45.0,,,
22.0,266,13,07/01/2020,75.0,70.0,3.0,,11883.0,,50.0,,,
16.0,178,0,03/17/2022,10.0,70.0,,70.0,4600.0,,45.0,,,
34.0,419,12,01/30/2021,0.0,,,,11883.0,,,,,
14.0,59,1,06/06/2023,22.0,65.0,,75.0,4600.0,,45.0,,,
154.0,570,32,04/10/2020,15.0,70.0,,,11883.0,,45.0,,,
16.0,100,7,06/02/2021,22.0,65.0,,,,,45.0,,,
54.0,745,0,12/07/2022,,,,,,,,,,
33.0,286,5,05/18/2021,18.0,65.0,,40.0,11883.0,,45.0,,,
38.0,1211,0,06/02/2022,22.0,65.0,,70.0,11883.0,,45.0,,,
30.0,403,1,10/19/2022,12.0,70.0,,70.0,11883.0,,50.0,,,
8.0,32,0,03/13/2020,6.1,71.0,5.0,,11883.0,,42.0,,,
17.0,149,4,02/28/2021,1.7,70.0,,,11900.0,,40.0,,,
17.0,339,3,07/30/2020,75.0,70.0,,,11883.0,,50.0,,,
30.0,442,5,10/10/2020,60.0,70.0,,,11883.0,,50.0,,,
81.0,1384,25,12/16/2020,30.0,75.0,,,11883.0,,45.0,,,
128.0,283,20,03/29/2020,8.0,65.0,7.0,,11883.0,,45.0,,,
32.0,410,4,03/27/2021,48.0,60.0,,15.0,11900.0,,45.0,,,
39.0,425,14,01/30/2022,28.0,75.0,,70.0,11883.0,,45.0,,,
22.0,324,3,07/14/2020,25.0,70.0,,,11883.0,,50.0,,,
30.0,547,2,08/26/2022,75.0,70.0,,70.0,11883.0,,50.0,,,
42.0,753,3,12/08/2022,1.7,75.0,,70.5,11883.0,,45.0,,,
11.0,217,0,07/21/2021,75.0,70.0,,60.5,,,45.0,,,
7.0,143,0,05/01/2023,15.0,60.0,,75.0,4600.0,,45.0,,,
112.0,2927,18,11/12/2020,8.0,70.0,,,11883.0,,45.0,,,
30.0,181,3,01/14/2023,,,,,,,,,,
25.0,451,1,07/31/2022,75.0,70.0,,70.0,11883.0,,50.0,,,
11.0,85,1,08/13/2023,75.0,70.0,,70.0,11883.0,,50.0,,,
21.0,406,5,09/24/2020,18.3,70.0,,,11883.0,,45.0,,,
19.0,264,2,03/23/2023,10.0,65.0,,75.0,11883.0,,45.0,,,
29.0,538,5,09/01/2021,23.0,70.0,,60.0,11883.0,,45.0,,,
17.0,406,2,09/26/2022,18.0,70.0,,70.0,4600.0,,50.0,,,
37.0,219,15,06/19/2020,75.0,70.0,,,11883.0,,45.0,,,
26.0,413,3,09/29/2021,18.0,70.0,,65.0,11883.0,,45.0,,,
49.0,1165,3,10/19/2020,12.0,70.0,,,11883.0,,45.0,,,
18.0,196,3,11/07/2023,,,,,11883.0,,,,,
30.0,856,2,06/23/2022,75.0,65.0,,70.5,11883.0,,45.0,,,
5.0,28,5,06/13/2021,23.0,65.0,,50.0,11883.0,,42.0,,,
16.0,177,3,08/08/2020,27.0,70.0,,,4600.0,,45.0,,,
33.0,388,3,08/26/2020,25.0,70.0,,,11883.0,,45.0,,,
8.0,120,0,07/17/2021,26.0,70.0,,60.0,11883.0,,45.0,,,
15.0,173,0,08/15/2023,75.0,70.0,,70.0,11883.0,,50.0,,,
6.0,58,0,08/05/2023,75.0,70.0,,70.0,11883.0,,50.0,,,
27.0,367,2,09/27/2022,17.0,70.0,,70.0,4600.0,,50.0,,,
139.0,1173,39,05/01/2020,15.0,60.0,,,4600.0,,45.0,,,
49.0,947,6,04/05/2021,10.0,60.0,,25.0,11883.0,,45.0,,,
29.0,337,4,07/13/2020,25.0,70.0,,,11883.0,,50.0,,,
24.0,381,1,10/04/2022,15.0,70.0,,65.0,11883.0,,50.0,,,
21.0,395,2,09/04/2020,22.0,70.0,,,4600.0,,45.0,,,
44.0,658,7,09/08/2021,23.0,70.0,,60.0,,,50.0,,,
90.0,1381,17,01/07/2021,,,,,,,,,,
42.0,605,6,08/25/2021,25.0,70.0,,60.0,,,45.0,,,
11.0,136,0,09/12/2020,19.0,70.0,,,11883.0,,45.0,,,
63.0,1307,4,10/22/2020,12.0,75.0,,,4600.0,,45.0,,,
26.0,264,3,06/30/2020,25.0,70.0,,,4600.0,,50.0,,,
8.0,599,0,04/06/2022,10.0,65.0,,70.0,4600.0,,40.0,,,
71.0,655,8,04/21/2021,10.0,60.0,,30.0,11883.0,,45.0,,,
28.0,374,3,11/21/2021,4.0,75.0,,70.0,11883.0,,45.0,,,
139.0,3352,14,11/10/2020,10.0,75.0,,,11883.0,,45.0,,,
19.0,430,3,09/14/2020,21.0,70.0,,,11883.0,,50.0,,,
110.0,2637,6,11/05/2020,10.0,75.0,,,11883.0,,45.0,,,
26.0,228,3,09/25/2021,20.0,70.0,,65.0,11883.0,,45.0,,,
64.0,548,6,05/03/2021,12.0,65.0,,30.0,11883.0,,45.0,,,
22.0,222,8,02/13/2021,28.0,70.0,,5.2,11883.0,,35.0,,,
55.0,1089,12,01/12/2021,2.0,75.0,,0.0,4600.0,,40.0,,,
20.0,162,1,11/01/2023,,,,,,,,,,
15.0,530,0,04/30/2022,12.8,65.0,,75.3,11883.0,,42.0,,,
5.0,36,1,06/16/2021,22.0,65.0,,50.0,4600.0,,45.0,,,
37.0,423,2,01/30/2023,,,,,,,,,,
6.0,51,0,04/01/2024,,,,,,,,,,
33.0,387,0,10/12/2022,15.0,70.0,,75.0,11883.0,,50.0,,,
5.0,18,1,07/04/2021,75.0,65.0,,50.0,11883.0,,40.0,,,
155.0,404,8,03/27/2020,45.0,60.0,8.0,,11883.0,,50.0,,,
19.0,313,2,10/07/2022,15.0,70.0,,75.0,11883.0,,45.0,,,
45.0,529,1,09/02/2022,,,,,,,,,,
13.0,204,1,08/22/2023,75.0,70.0,,75.0,11900.0,,50.0,,,
18.0,242,0,11/14/2023,8.0,75.0,,70.0,11883.0,,50.0,,,
101.0,289,3,03/23/2020,5.0,60.0,7.0,,4600.0,,45.0,,,
67.0,872,10,12/11/2021,2.0,75.0,,70.0,11883.0,,45.0,,,
18.0,370,2,10/29/2021,12.0,75.0,,65.0,4600.0,,45.0,,,
10.0,335,0,03/14/2023,4.0,70.0,,75.0,11883.0,,45.0,,,
28.0,207,0,12/03/2023,5.0,70.0,,75.0,4600.0,,50.0,,,
19.0,407,3,01/24/2023,,,,,,,,,,
61.0,1016,4,10/23/2020,12.0,75.0,,,4600.0,,45.0,,,
50.0,939,0,06/21/2022,75.0,65.0,,70.0,11883.0,,50.0,,,
29.0,583,0,11/07/2022,10.0,75.0,,70.0,11883.0,,45.0,,,
48.0,385,13,02/08/2021,,,,,11883.0,,,,,
27.0,485,1,02/15/2023,2.0,70.0,,70.0,4600.0,,40.0,,,
10.0,81,4,03/06/2022,5.0,70.0,,70.0,11883.0,,45.0,,,
27.0,364,1,10/05/2022,15.0,70.0,,70.0,11883.0,,50.0,,,
6.0,59,0,07/12/2023,75.0,70.0,,68.0,11883.0,,45.0,,,
18.0,393,0,02/14/2023,2.0,75.0,,70.0,11883.0,,45.0,,,
7.0,106,1,02/26/2022,,,,,,,,,,
17.0,173,0,05/11/2023,15.0,70.0,,70.0,4600.0,,50.0,,,
65.0,860,6,04/08/2021,15.0,60.0,,30.0,11883.0,,45.0,,,
18.0,168,2,02/04/2023,,,,,,,,,,
40.0,349,0,11/26/2022,5.0,75.0,,70.0,11883.0,,50.0,,,
48.0,525,0,01/03/2023,,,,,,,,,,
27.0,213,1,09/05/2022,75.0,70.0,,70.0,11900.0,,50.0,,,
148.0,774,43,04/17/2020,10.0,60.0,,,11883.0,,45.0,,,
160.0,534,39,04/18/2020,10.0,60.0,7.0,,4600.0,,50.0,,,
14.0,182,3,10/08/2022,15.0,70.0,,68.0,4600.0,,45.0,,,
14.0,39,2,06/11/2021,10.0,,,,4600.0,,,,,
39.0,608,9,02/01/2021,,,,,,,,,,
125.0,877,45,05/13/2020,15.0,65.0,,,11883.0,,45.0,,,
51.0,899,3,07/08/2022,25.0,70.0,,70.0,4600.0,,50.0,,,
32.0,389,1,10/18/2022,12.0,70.0,,70.0,11883.0,,50.0,,,
49.0,762,2,08/22/2022,75.0,70.0,,70.0,11883.0,,50.0,,,
23.0,115,0,09/17/2023,21.0,70.0,,75.0,11883.0,,50.0,,,
12.0,148,0,04/05/2023,,,,,,,,,,
132.0,968,44,05/06/2020,15.0,70.0,,,4600.0,,45.0,,,
31.0,218,9,06/22/2020,75.0,65.0,,,11883.0,,45.0,,,
116.0,2070,30,12/03/2020,5.0,75.0,7.0,,11883.0,,45.0,,,
30.0,395,5,02/28/2023,34.0,,,,11883.0,,,,,
68.0,858,4,04/06/2021,10.0,65.0,,20.0,,,45.0,,,
12.0,162,2,03/03/2022,3.3,75.0,,68.5,4600.0,,42.0,,,
37.0,194,0,12/10/2023,,,,,11883.0,,,,,
33.0,412,8,02/09/2021,,,,,,,,,,
16.0,170,0,10/16/2023,,,,,,,,,,
131.0,778,45,05/14/2020,15.0,60.0,,,11883.0,,45.0,,,
19.0,133,0,09/04/2023,25.0,70.0,,70.0,4600.0,,50.0,,,
27.0,1470,1,05/12/2022,12.0,70.0,,75.0,4600.0,,45.0,,,
4.0,87,0,04/22/2023,12.0,60.0,,75.0,4600.0,,45.0,,,
31.0,289,1,07/21/2020,24.0,70.0,,,4600.0,,50.0,,,
14.0,145,1,05/09/2023,18.0,65.0,,75.0,4600.0,,45.0,,,
7.0,46,0,06/12/2023,21.0,70.0,,75.0,11883.0,,45.0,,,
22.0,176,0,01/28/2023,0.0,,,,,,,,,
14.0,176,1,10/25/2023,12.0,70.0,,75.0,11883.0,,45.0,,,
137.0,3227,14,11/09/2020,18.0,70.0,,,4600.0,,50.0,,,
25.0,341,4,07/07/2020,25.0,70.0,,,4600.0,,50.0,,,
51.0,508,1,12/28/2022,0.0,,,,11883.0,,,,,
128.0,2187,36,12/01/2020,3.0,75.0,,,11883.0,,45.0,,,
2.0,39,0,07/08/2023,25.0,70.0,,75.0,4600.0,,50.0,,,
35.0,185,2,03/19/2020,8.0,,7.0,,11883.0,,,,,
48.0,221,4,03/21/2021,8.0,65.0,,15.0,11883.0,,45.0,,,
33.0,575,2,07/09/2022,75.0,70.0,,68.5,,,45.0,,,
47.0,717,4,03/31/2021,10.0,,,20.0,11883.0,,,,,
28.0,423,0,02/23/2023,,,,,,,,,,
3.0,36,0,06/03/2023,22.0,65.0,,70.0,4600.0,,45.0,,,
5.0,59,1,04/23/2023,10.0,60.0,,75.0,4600.0,,50.0,,,
13.0,397,0,04/08/2022,15.0,70.0,,70.0,4600.0,,45.0,,,
27.0,204,2,10/01/2022,15.0,70.0,,65.0,11883.0,,45.0,,,
147.0,1053,45,04/22/2020,10.5,60.0,7.0,,11883.0,,45.0,,,
13.0,130,5,06/27/2020,75.0,65.0,,,11883.0,,45.0,,,
28.0,192,2,12/09/2023,22.0,70.0,,75.0,4600.0,,50.0,,,
13.0,132,1,10/30/2023,,,,,11883.0,,,,,
32.0,171,6,05/26/2021,18.3,70.0,,41.5,11883.0,,45.0,,,
40.0,285,0,11/27/2022,5.0,75.0,,70.0,11883.0,,45.0,,,
34.0,506,4,08/09/2021,75.0,70.0,,60.0,11883.0,,45.0,,,
25.0,128,3,05/25/2021,17.8,65.0,,45.3,11883.0,,42.0,,,
18.0,120,3,08/16/2020,24.0,70.0,,,4600.0,,45.0,,,
36.0,423,3,03/18/2021,8.3,65.0,,15.2,11883.0,,42.0,,,
12.0,143,0,10/17/2023,15.0,70.0,,75.0,4600.0,,50.0,,,
37.0,577,12,02/07/2022,,,,,4600.0,,,,,
28.0,438,1,01/20/2023,,,,,,,,,,
2.0,3,0,03/06/2020,4.0,70.0,7.0,,4600.0,,50.0,,,
29.0,592,2,11/10/2021,10.0,75.0,,65.0,11883.0,,45.0,,,
32.0,682,6,03/24/2021,10.0,,,,11883.0,,,,,
51.0,1171,2,11/30/2021,4.0,75.0,,70.0,11883.0,,50.0,,,
12.0,148,2,09/22/2023,21.0,70.0,,75.0,4600.0,,50.0,,,
22.0,386,4,08/11/2020,10.0,75.0,,,11883.0,,45.0,,,
7.0,204,4,10/24/2021,12.0,70.0,,66.0,11883.0,,42.0,,,
36.0,337,4,02/24/2021,,,,,,,,,,
28.0,1343,2,05/18/2022,18.0,65.0,,70.0,11883.0,,45.0,,,
32.0,496,3,08/04/2021,25.0,70.0,,60.0,11883.0,,45.0,,,
13.0,145,0,10/11/2023,15.0,70.0,,,4600.0,,50.0,,,
43.0,278,7,05/19/2021,18.0,65.0,,40.0,11883.0,,45.0,,,
6.0,133,1,10/04/2023,18.0,70.0,,75.0,4600.0,,50.0,,,
61.0,1285,10,12/08/2021,3.0,75.0,,70.0,11883.0,,45.0,,,
14.0,132,4,07/18/2020,28.0,70.0,,,11883.0,,45.0,,,
17.0,211,0,09/11/2022,22.0,70.0,,75.0,4600.0,,50.0,,,
21.0,194,1,09/18/2022,22.0,70.0,,70.5,11883.0,,45.0,,,
4.0,53,0,07/17/2023,75.0,70.0,,70.5,11900.0,,50.0,,,
14.0,152,1,04/28/2023,12.0,65.0,,75.0,11883.0,,45.0,,,
3.0,44,1,07/23/2023,76.0,70.0,,68.5,11883.0,,45.0,,,
48.0,619,21,12/24/2020,,,,,,,,,,
17.0,72,1,09/07/2020,22.0,70.0,,,11883.0,,45.0,,,
34.0,363,3,10/25/2021,12.0,70.0,,65.0,11883.0,,45.0,,,
25.0,381,6,09/29/2020,18.3,70.0,,,11883.0,,45.0,,,
21.0,95,3,08/02/2020,75.0,70.0,,,11883.0,,45.0,,,
39.0,1038,3,07/25/2022,78.0,65.0,,70.0,11883.0,,45.0,,,
40.0,142,0,12/25/2023,,,,,,,,,,
3.0,3,0,03/07/2020,5.0,70.0,,,11883.0,,45.0,,,
34.0,617,6,11/12/2021,7.0,75.0,,67.5,11883.0,,45.0,,,
11.0,84,1,09/30/2023,18.0,70.0,,75.0,4600.0,,45.0,,,
30.0,300,4,10/11/2020,15.0,70.0,,,11883.0,,50.0,,,
37.0,823,1,07/22/2022,77.0,70.0,,70.0,11883.0,,50.0,,,
7.0,92,1,03/01/2024,,,,,,,,,,
9.0,96,1,07/28/2023,75.0,70.0,,70.0,11883.0,,50.0,,,
80.0,1338,17,12/22/2020,1.1,75.0,,,11883.0,,45.0,,,
68.0,168,2,03/22/2020,4.0,70.0,5.0,,4600.0,,45.0,,,
47.0,531,7,04/29/2021,15.0,60.0,,30.5,11883.0,,45.0,,,
48.0,363,1,01/02/2024,,,,,,,,,,
22.0,291,6,03/05/2021,5.0,70.0,,,11883.0,,45.0,,,
8.0,60,1,06/22/2023,75.0,70.0,,70.0,11883.0,,50.0,,,
55.0,237,21,05/30/2020,68.0,70.0,,,11883.0,,50.0,,,
73.0,1208,6,12/06/2021,4.0,75.0,,70.0,11883.0,,50.0,,,
8.0,42,0,03/17/2024,,,,,,,,,,
47.0,372,1,08/21/2021,25.0,70.0,,60.0,11883.0,,45.0,,,
7.0,139,2,07/14/2021,25.0,70.0,,60.0,,,50.0,,,
29.0,282,5,07/06/2020,27.0,70.0,,,11883.0,,45.0,,,
46.0,644,2,08/11/2022,75.0,70.0,,,11883.0,,45.0,,,
13.0,198,0,02/28/2022,,,,,,,,,,
118.0,350,2,03/24/2020,5.0,60.0,7.0,,4600.0,,50.0,,,
9.0,31,0,03/14/2020,45.0,70.0,,,11883.0,,50.0,,,
5.0,243,1,03/24/2022,10.0,60.0,,70.0,11883.0,,45.0,,,
16.0,257,2,03/13/2021,5.0,70.0,,10.0,4600.0,,45.0,,,
30.0,227,3,10/03/2020,15.0,70.0,,,11883.0,,45.0,,,
13.0,208,1,09/13/2023,22.0,70.0,,68.5,4600.0,,50.0,,,
9.0,103,0,07/12/2021,75.0,65.0,,,,,45.0,,,
20.0,468,0,02/01/2023,,,,,,,,,,
7.0,133,0,07/15/2021,27.8,70.0,,55.2,11883.0,,45.0,,,
8.0,150,2,03/18/2022,10.0,65.0,,70.0,11883.0,,42.0,,,
33.0,220,0,01/11/2024,,,,,,,,,,
23.0,328,9,02/11/2022,10.0,70.0,,70.0,11883.0,,45.0,,,
115.0,638,38,04/25/2020,12.0,65.0,,,11883.0,,45.0,,,
41.0,566,5,03/23/2021,10.0,65.0,,15.0,11883.0,,45.0,,,
43.0,592,3,08/26/2021,25.0,70.0,,60.0,,,45.0,,,
25.0,329,1,03/20/2023,5.0,60.0,,75.0,11883.0,,45.0,,,
27.0,488,10,02/09/2022,,,,,,,,,,
