No High School Diploma,Community Area,Unemployment,Below Poverty Level,Infant Mortality Rate,Teen Birth Rate,Preterm Births,General Fertility Rate,Percent_Unemployment,Percent_Below_Poverty_Level,Teen_Birth_Rate_Per_1000,Infant_Mortality_Rate_Per_1000,General_Fertility_Rate_Per_1000,Percent_No_High_School_Diploma_Last_Decade,Percent_Less_than_12_Years_Education,Percent_Less_than_9_Years_Education,Percent_Less_than_6_Years_Education,Percent_Less_than_3_Years_Education,Percent_Completing_12th_Grade_No_Diploma,Percent_Completing_GED,Percent_Completing_High_School_Diploma
18.1,1,7.5,22.7,6.4,40.8,11.2,62.0,,,,,,,,,,,,,
19.6,2,7.9,15.1,5.1,29.9,8.3,83.3,,,,,,,,,,,,,
13.6,3,7.7,22.7,6.5,35.1,10.3,50.5,,,,,,,,,,,,,
12.5,4,6.8,9.5,3.8,38.4,9.7,61.0,,,,,,,,,,,,,
5.4,5,4.5,7.1,2.7,8.4,9.8,76.2,,,,,,,,,,,,,
2.9,6,4.7,10.5,2.2,15.8,8.1,38.7,,,,,,,,,,,,,
4.3,7,4.5,11.8,2.4,2.1,7.8,38.7,,,,,,,,,,,,,
3.4,8,5.2,13.4,6.5,34.0,9.6,35.9,,,,,,,,,,,,,
8.5,9,7.4,5.1,4.6,3.9,12.6,59.5,,,,,,,,,,,,,
13.5,10,7.3,5.9,4.4,3.4,8.3,59.6,,,,,,,,,,,,,
13.5,11,9.0,6.4,8.3,28.6,7.7,67.8,,,,,,,,,,,,,
6.3,12,5.5,6.1,3.8,6.3,10.3,60.6,,,,,,,,,,,,,
18.2,13,7.5,12.4,5.4,10.5,10.2,54.2,,,,,,,,,,,,,
34.9,14,9.0,17.1,4.9,44.5,8.3,76.5,,,,,,,,,,,,,
18.7,15,10.6,12.3,4.7,41.7,8.7,66.1,,,,,,,,,,,,,
22.0,16,10.3,10.8,5.3,37.0,10.2,67.1,,,,,,,,,,,,,
18.0,17,8.6,8.3,4.9,19.9,9.9,64.7,,,,,,,,,,,,,
28.4,18,10.8,12.8,4.6,61.5,8.8,83.5,,,,,,,,,,,,,
37.0,19,11.5,18.6,5.6,68.2,7.6,88.6,,,,,,,,,,,,,
41.9,20,12.9,19.1,9.3,69.7,8.8,86.7,,,,,,,,,,,,,
25.7,21,9.3,14.6,5.7,63.4,7.5,77.7,,,,,,,,,,,,,
18.5,22,7.5,17.2,4.3,66.1,9.4,63.5,,,,,,,,,,,,,
36.8,23,12.3,32.6,9.8,77.9,11.7,80.7,,,,,,,,,,,,,
13.4,24,6.0,15.7,5.1,49.2,10.8,60.4,,,,,,,,,,,,,
25.0,25,21.0,27.0,13.3,81.8,14.3,80.1,,,,,,,,,,,,,
26.2,26,25.2,40.3,19.0,114.9,17.5,88.4,,,,,,,,,,,,,
26.2,27,16.4,39.7,11.0,93.2,16.3,80.8,,,,,,,,,,,,,
11.2,28,10.7,21.6,9.1,36.7,10.5,55.6,,,,,,,,,,,,,
30.4,29,18.5,38.6,14.1,108.9,15.2,86.3,,,,,,,,,,,,,
58.7,30,11.5,28.1,5.9,77.5,9.6,94.9,,,,,,,,,,,,,
44.3,31,13.0,27.2,5.4,49.0,8.8,68.2,,,,,,,,,,,,,
3.4,32,4.2,11.1,5.7,1.3,6.9,27.7,,,,,,,,,,,,,
7.1,33,5.7,11.1,4.8,50.9,10.9,72.9,,,,,,,,,,,,,
37.5,34,11.6,35.8,1.5,16.2,11.8,57.1,,,,,,,,,,,,,
16.9,35,16.7,26.1,13.4,34.2,10.2,42.2,,,,,,,,,,,,,
17.6,36,26.6,38.1,8.2,54.5,11.5,63.9,,,,,,,,,,,,,
33.7,37,40.0,55.5,22.6,69.2,14.3,60.4,,,,,,,,,,,,,
19.4,38,20.6,28.3,12.1,54.8,13.7,58.2,,,,,,,,,,,,,
10.8,39,11.0,23.1,8.9,25.7,11.9,51.1,,,,,,,,,,,,,
28.3,40,23.2,39.1,19.3,82.6,16.9,72.1,,,,,,,,,,,,,
5.3,41,6.9,18.2,10.4,7.6,5.5,33.9,,,,,,,,,,,,,
17.9,42,17.3,28.3,11.5,51.1,16.3,60.1,,,,,,,,,,,,,
14.9,43,17.7,31.5,11.4,65.9,13.4,67.9,,,,,,,,,,,,,
13.7,44,19.0,25.3,10.9,68.2,15.6,71.3,,,,,,,,,,,,,
13.3,45,16.6,16.7,11.4,63.9,14.6,69.6,,,,,,,,,,,,,
28.2,46,17.7,28.0,17.7,76.8,15.1,82.2,,,,,,,,,,,,,
18.6,47,23.4,22.5,13.0,68.7,13.2,64.0,,,,,,,,,,,,,
11.2,48,17.2,12.0,13.9,39.3,16.4,57.4,,,,,,,,,,,,,
17.4,49,17.8,19.5,9.6,79.7,12.8,68.8,,,,,,,,,,,,,
15.6,50,21.0,20.1,13.6,67.9,12.1,66.5,,,,,,,,,,,,,
21.9,51,11.8,24.5,11.8,65.3,15.7,76.7,,,,,,,,,,,,,
35.5,52,14.5,18.7,3.7,53.0,11.0,85.8,,,,,,,,,,,,,
22.6,53,17.0,24.3,11.9,67.8,14.4,71.2,,,,,,,,,,,,,
24.6,54,26.4,61.4,8.7,64.5,16.5,46.1,,,,,,,,,,,,,
17.9,55,9.6,12.1,8.4,47.1,13.1,73.2,,,,,,,,,,,,,
19.4,56,8.1,9.0,4.5,33.7,9.5,69.0,,,,,,,,,,,,,
36.4,57,14.2,13.0,5.2,50.3,10.0,80.0,,,,,,,,,,,,,
48.2,58,11.2,23.0,5.9,58.1,8.3,90.6,,,,,,,,,,,,,
31.8,59,11.9,16.1,7.3,47.9,9.9,73.9,,,,,,,,,,,,,
25.6,60,11.2,17.3,8.0,28.4,11.4,51.7,,,,,,,,,,,,,
42.4,61,17.4,30.6,7.9,94.3,12.2,93.4,,,,,,,,,,,,,
39.6,62,13.5,9.8,8.1,45.5,7.5,92.3,,,,,,,,,,,,,
54.1,63,14.0,20.8,5.4,61.4,6.8,93.2,,,,,,,,,,,,,
18.5,64,9.6,5.9,6.7,38.7,8.0,68.3,,,,,,,,,,,,,
33.4,65,7.8,15.3,8.4,44.6,8.3,83.3,,,,,,,,,,,,,
31.6,66,11.9,22.2,11.1,67.4,10.8,85.3,,,,,,,,,,,,,
30.3,67,34.7,32.3,13.3,116.9,13.8,93.3,,,,,,,,,,,,,
29.4,68,21.3,42.2,13.4,105.3,13.1,85.8,,,,,,,,,,,,,
17.9,69,18.9,25.6,14.2,84.3,15.1,82.4,,,,,,,,,,,,,
18.3,70,8.8,9.5,10.2,38.3,11.3,69.0,,,,,,,,,,,,,
19.5,71,24.2,24.5,15.6,83.1,13.9,70.5,,,,,,,,,,,,,
5.1,72,7.8,5.2,10.0,11.9,9.9,60.7,,,,,,,,,,,,,
15.6,73,18.3,15.7,11.2,65.0,16.2,61.0,,,,,,,,,,,,,
4.5,74,6.9,3.1,3.3,7.7,15.1,59.0,,,,,,,,,,,,,
10.9,75,14.9,13.7,13.1,46.7,12.3,67.5,,,,,,,,,,,,,
11.0,76,4.7,9.5,2.0,15.9,5.0,70.0,,,,,,,,,,,,,
9.0,77,9.0,16.6,6.9,15.1,7.4,48.1,,,,,,,,,,,,,
