EducAttain,SERIALNO,EST_Childcare,EST_Income,EST_HousingCost,EST_TransportCost,EST_HealthCareCost,EST_FoodCost,EST_WorkHoursPerWeek,EST_ParentEducationLevel,EST_SchoolQualityIndex,EST_PublicAssistanceRecipients,EST_HomeOwnershipStatus,EST_CommunitySafetyIndex,EST_PublicTransportAccess,EST_NonWorkDaysPerYear,EST_SchoolAttendanceRate
4.0,1,0.0,,,,,,,,,,,,,,
4.0,16,0.0,,,,,,,,,,,,,,
3.0,16,0.0,,,,,,,,,,,,,,
1.0,47,0.0,,,,,,,,,,,,,,
1.0,47,0.0,,,,,,,,,,,,,,
4.0,55,0.0,,,,,,,,,,,,,,
4.0,55,0.0,,,,,,,,,,,,,,
2.0,55,0.0,,,,,,,,,,,,,,
4.0,194,0.0,,,,,,,,,,,,,,
2.0,218,0.0,,,,,,,,,,,,,,
3.0,218,0.0,,,,,,,,,,,,,,
1.0,398,0.0,,,,,,,,,,,,,,
2.0,398,0.0,,,,,,,,,,,,,,
3.0,414,0.0,,,,,,,,,,,,,,
1.0,414,0.0,,,,,,,,,,,,,,
1.0,414,0.0,,,,,,,,,,,,,,
2.0,463,0.0,,,,,,,,,,,,,,
3.0,463,0.0,,,,,,,,,,,,,,
1.0,463,0.0,,,,,,,,,,,,,,
1.0,463,0.0,,,,,,,,,,,,,,
2.0,721,0.0,,,,,,,,,,,,,,
2.0,721,0.0,,,,,,,,,,,,,,
3.0,721,0.0,,,,,,,,,,,,,,
1.0,721,0.0,,,,,,,,,,,,,,
1.0,721,0.0,,,,,,,,,,,,,,
1.0,721,0.0,,,,,,,,,,,,,,
1.0,721,0.0,,,,,,,,,,,,,,
1.0,721,0.0,,,,,,,,,,,,,,
1.0,721,0.0,,,,,,,,,,,,,,
1.0,721,0.0,,,,,,,,,,,,,,
1.0,721,0.0,,,,,,,,,,,,,,
,721,0.0,,,,,,,,,,,,,,
2.0,739,0.0,,,,,,,,,,,,,,
1.0,739,0.0,,,,,,,,,,,,,,
4.0,782,0.0,,,,,,,,,,,,,,
4.0,782,0.0,,,,,,,,,,,,,,
3.0,783,0.0,,,,,,,,,,,,,,
1.0,783,0.0,,,,,,,,,,,,,,
2.0,783,0.0,,,,,,,,,,,,,,
2.0,783,0.0,,,,,,,,,,,,,,
2.0,792,0.0,,,,,,,,,,,,,,
3.0,792,0.0,,,,,,,,,,,,,,
1.0,792,0.0,,,,,,,,,,,,,,
,792,0.0,,,,,,,,,,,,,,
1.0,792,0.0,,,,,,,,,,,,,,
3.0,798,0.0,,,,,,,,,,,,,,
2.0,798,0.0,,,,,,,,,,,,,,
1.0,798,0.0,,,,,,,,,,,,,,
1.0,798,0.0,,,,,,,,,,,,,,
1.0,802,0.0,,,,,,,,,,,,,,
2.0,882,0.0,,,,,,,,,,,,,,
2.0,882,0.0,,,,,,,,,,,,,,
3.0,882,0.0,,,,,,,,,,,,,,
3.0,882,0.0,,,,,,,,,,,,,,
4.0,954,0.0,,,,,,,,,,,,,,
4.0,954,0.0,,,,,,,,,,,,,,
4.0,967,0.0,,,,,,,,,,,,,,
4.0,967,0.0,,,,,,,,,,,,,,
2.0,998,0.0,,,,,,,,,,,,,,
2.0,998,0.0,,,,,,,,,,,,,,
4.0,1021,0.0,,,,,,,,,,,,,,
1.0,1021,0.0,,,,,,,,,,,,,,
4.0,1021,0.0,,,,,,,,,,,,,,
1.0,1021,0.0,,,,,,,,,,,,,,
1.0,1054,0.0,,,,,,,,,,,,,,
2.0,1097,Other,,,,,,,,,,,,,,
,1097,Other,,,,,,,,,,,,,,
2.0,1127,0.0,,,,,,,,,,,,,,
2.0,1127,0.0,,,,,,,,,,,,,,
4.0,1219,0.0,,,,,,,,,,,,,,
4.0,1348,0.0,,,,,,,,,,,,,,
3.0,1348,0.0,,,,,,,,,,,,,,
4.0,1357,0.0,,,,,,,,,,,,,,
3.0,1358,0.0,,,,,,,,,,,,,,
2.0,1358,0.0,,,,,,,,,,,,,,
2.0,1358,0.0,,,,,,,,,,,,,,
4.0,1459,0.0,,,,,,,,,,,,,,
1.0,1545,0.0,,,,,,,,,,,,,,
1.0,1545,0.0,,,,,,,,,,,,,,
3.0,1545,0.0,,,,,,,,,,,,,,
2.0,1545,0.0,,,,,,,,,,,,,,
4.0,1556,0.0,,,,,,,,,,,,,,
3.0,1556,0.0,,,,,,,,,,,,,,
4.0,1556,0.0,,,,,,,,,,,,,,
4.0,1761,Other,,,,,,,,,,,,,,
4.0,1761,Other,,,,,,,,,,,,,,
1.0,1761,Other,,,,,,,,,,,,,,
1.0,1761,Other,,,,,,,,,,,,,,
1.0,1761,Other,,,,,,,,,,,,,,
1.0,1761,Other,,,,,,,,,,,,,,
4.0,1810,0.0,,,,,,,,,,,,,,
3.0,1810,0.0,,,,,,,,,,,,,,
4.0,1810,0.0,,,,,,,,,,,,,,
3.0,1810,0.0,,,,,,,,,,,,,,
1.0,1810,0.0,,,,,,,,,,,,,,
3.0,1818,0.0,,,,,,,,,,,,,,
3.0,1845,0.0,,,,,,,,,,,,,,
3.0,1845,0.0,,,,,,,,,,,,,,
4.0,1845,0.0,,,,,,,,,,,,,,
2.0,1862,0.0,,,,,,,,,,,,,,
4.0,1969,Other,,,,,,,,,,,,,,
4.0,1969,Other,,,,,,,,,,,,,,
1.0,1969,Other,,,,,,,,,,,,,,
1.0,1969,Other,,,,,,,,,,,,,,
4.0,1982,0.0,,,,,,,,,,,,,,
4.0,1982,0.0,,,,,,,,,,,,,,
