"Under $25,000",Community Area,"$50,000 to $74,999"
1269,ALBANY PARK,1801
223,ARCHER HEIGHTS,441
701,ARMOUR SQUARE,370
797,ASHBURN,1985
2541,AUBURN GRESHAM,1592
5506,AUSTIN,3600
420,AVALON PARK,356
689,AVONDALE,1106
1585,BELMONT CRAGIN,3031
160,BEVERLY,355
1123,BRIDGEPORT,1043
1685,BRIGHTON PARK,1889
31,BURNSIDE,73
353,CALUMET HEIGHTS,431
1530,CHATHAM,940
2242,CHICAGO LAWN,2615
359,CLEARING,1002
689,DOUGLAS,526
761,DUNNING,1714
1416,EAST GARFIELD PARK,462
712,EAST SIDE,1214
736,EDGEWATER,909
123,EDISON PARK,109
1501,ENGLEWOOD,754
162,FOREST GLEN,343
186,FULLER PARK,36
1007,GAGE PARK,1582
421,GARFIELD RIDGE,1220
913,GRAND BOULEVARD,651
1853,GREATER GRAND CROSSING,1121
213,HEGEWISCH,462
549,HERMOSA,974
2099,HUMBOLDT PARK,2632
301,HYDE PARK,309
1028,IRVING PARK,1674
521,JEFFERSON PARK,814
564,KENWOOD,116
627,LAKE VIEW,860
309,LINCOLN PARK,381
576,LINCOLN SQUARE,1173
1259,LOGAN SQUARE,1329
138,LOOP,305
900,LOWER WEST SIDE,1242
320,MCKINLEY PARK,699
312,MONTCLARE,510
759,MORGAN PARK,571
158,MOUNT GREENWOOD,270
847,NEAR NORTH SIDE,517
447,NEAR SOUTH SIDE,235
1532,NEAR WEST SIDE,814
2266,NEW CITY,1432
355,NORTH CENTER,378
1772,NORTH LAWNDALE,1171
391,NORTH PARK,583
771,NORWOOD PARK,1140
361,OAKLAND,144
321,OHARE,1052
909,PORTAGE PARK,1926
287,PULLMAN,346
965,RIVERDALE,195
1038,ROGERS PARK,1477
1535,ROSELAND,1379
1499,SOUTH CHICAGO,968
912,SOUTH DEERING,464
2608,SOUTH LAWNDALE,2307
2299,SOUTH SHORE,1681
1379,UPTOWN,971
918,WASHINGTON HEIGHTS,1179
1142,WASHINGTON PARK,274
267,WEST ELSDON,788
1547,WEST ENGLEWOOD,785
1048,WEST GARFIELD PARK,655
766,WEST LAWN,1296
1380,WEST PULLMAN,850
2088,WEST RIDGE,3031
1051,WEST TOWN,1197
1039,WOODLAWN,622
