"Under $25,000",Community Area,"$50,000 to $74,999",median_income,unemployment_rate,education_level_distribution,poverty_rate,average_household_size,housing_cost_burden,crime_rate,public_assistance_rate,healthcare_access,transportation_accessibility
1269,ALBANY PARK,1801,,,,,,,,,,
223,ARCHER HEIGHTS,441,,,,,,,,,,
701,ARMOUR SQUARE,370,,,,,,,,,,
797,ASHBURN,1985,,,,,,,,,,
2541,AUBURN GRESHAM,1592,36000.0,12.5,high school,25.0,2.9,40.0,45.0,,,
5506,AUSTIN,3600,33000.0,0.12,high school,0.3,2.9,0.45,45.0,0.25,,
420,AVALON PARK,356,,,,,,,,,,
689,AVONDALE,1106,,,,,,,,,,
1585,BELMONT CRAGIN,3031,,,,,,,,,,
160,BEVERLY,355,101000.0,5.2,"high school, bachelor's degree",8.5,2.7,28.0,12.5,3.5,,
1123,BRIDGEPORT,1043,,,,,,,,,,
1685,BRIGHTON PARK,1889,,,,,,,,,,
31,BURNSIDE,73,,,,,,,,,,
353,CALUMET HEIGHTS,431,,,,,,,,,,
1530,CHATHAM,940,,,,,,,,,,
2242,CHICAGO LAWN,2615,,,,,,,,,,
359,CLEARING,1002,,,,,,,,,,
689,DOUGLAS,526,,,,,,,,,,
761,DUNNING,1714,,,,,,,,,,
1416,EAST GARFIELD PARK,462,,,,,,,,,,
712,EAST SIDE,1214,,,,,,,,,,
736,EDGEWATER,909,55000.0,6.5,"high school, bachelor's degree",15.2,2.1,35.0,25.0,,,
123,EDISON PARK,109,,,,,,,,,,
1501,ENGLEWOOD,754,25000.0,0.2,high school,0.4,3.2,0.5,75.0,,,
162,FOREST GLEN,343,,,,,,,,,,
186,FULLER PARK,36,,,,,,,,,,
1007,GAGE PARK,1582,,,,,,,,,,
421,GARFIELD RIDGE,1220,,,,,,,,,,
913,GRAND BOULEVARD,651,,,,,,,,,,
1853,GREATER GRAND CROSSING,1121,,,,,,,,,,
213,HEGEWISCH,462,,,,,,,,,,
549,HERMOSA,974,,,,,,,,,,
2099,HUMBOLDT PARK,2632,,,,,,,,,,
301,HYDE PARK,309,63000.0,5.2,"high_school, bachelor's_degree, master's_degree",18.5,2.3,35.0,25.0,,,
1028,IRVING PARK,1674,,,,,,,,,,
521,JEFFERSON PARK,814,,,,,,,,,,
564,KENWOOD,116,57000.0,0.08,"high school, bachelor's degree",0.15,2.5,0.35,25.0,0.12,0.85,0.9
627,LAKE VIEW,860,102000.0,4.5,high bachelor's degree,10.2,2.1,28.5,25.3,,,
309,LINCOLN PARK,381,115000.0,3.5,high bachelor's degree,10.0,2.1,25.0,20.0,,,
576,LINCOLN SQUARE,1173,75000.0,4.5,bachelor's degree,10.2,2.3,28.0,15.0,5.0,85.0,90.0
1259,LOGAN SQUARE,1329,75000.0,5.2,bachelor's degree,12.5,2.5,30.5,25.0,,,
138,LOOP,305,,,,,,,,,,
900,LOWER WEST SIDE,1242,,,,,,,,,,
320,MCKINLEY PARK,699,,,,,,,,,,
312,MONTCLARE,510,,,,,,,,,,
759,MORGAN PARK,571,,,,,,,,,,
158,MOUNT GREENWOOD,270,,,,,,,,,,
847,NEAR NORTH SIDE,517,101000.0,4.5,bachelor's degree,10.2,1.8,35.0,25.0,5.0,90.0,85.0
447,NEAR SOUTH SIDE,235,55000.0,7.5,"high school, bachelor's degree",15.0,2.5,35.0,25.0,10.0,85.0,90.0
1532,NEAR WEST SIDE,814,,,,,,,,,,
2266,NEW CITY,1432,,,,,,,,,,
355,NORTH CENTER,378,,,,,,,,,,
1772,NORTH LAWNDALE,1171,26000.0,0.18,high school,0.44,2.9,,,,,
391,NORTH PARK,583,,,,,,,,,,
771,NORWOOD PARK,1140,,,,,,,,,,
361,OAKLAND,144,,,,,,,,,,
321,OHARE,1052,,,,,,,,,,
909,PORTAGE PARK,1926,,,,,,,,,,
287,PULLMAN,346,,,,,,,,,,
965,RIVERDALE,195,,,,,,,,,,
1038,ROGERS PARK,1477,,,,,,,,,,
1535,ROSELAND,1379,,,,,,,,,,
1499,SOUTH CHICAGO,968,,,,,,,,,,
912,SOUTH DEERING,464,,,,,,,,,,
2608,SOUTH LAWNDALE,2307,36000.0,,high school,,3.5,,,,,
2299,SOUTH SHORE,1681,35000.0,12.5,high school,30.0,2.5,45.0,50.0,20.0,,
1379,UPTOWN,971,60000.0,,,,,,,,,
918,WASHINGTON HEIGHTS,1179,,,,,,,,,,
1142,WASHINGTON PARK,274,,,,,,,,,,
267,WEST ELSDON,788,,,,,,,,,,
1547,WEST ENGLEWOOD,785,25000.0,20.0,high school,40.0,3.5,50.0,60.0,30.0,,
1048,WEST GARFIELD PARK,655,25000.0,0.15,high school,0.3,3.2,,,,,
766,WEST LAWN,1296,,,,,,,,,,
1380,WEST PULLMAN,850,,,,,,,,,,
2088,WEST RIDGE,3031,55000.0,6.5,"high school, bachelor's degree",15.2,2.8,32.5,25.4,10.3,85.0,75.0
1051,WEST TOWN,1197,,,,,,,,,,
1039,WOODLAWN,622,,,,,,,,,,
