"Under $25,000",Community Area,"$50,000 to $74,999",median_income,poverty_rate,unemployment_rate,education_level,housing_cost_burden,single_parent_households,racial_diversity_index,average_family_size,access_to_public_transport,health_insurance_coverage,food_insecurity_rate,employment_sector_distribution,median_age
1269,ALBANY PARK,1801,60000.0,18.5,7.2,85.0,32.0,1500.0,0.65,3.0,8.0,92.0,12.0,service,34.0
223,ARCHER HEIGHTS,441,55000.0,18.5,7.2,85.3,32.1,1200.0,0.65,3.2,8.0,92.4,14.0,service,34.0
701,ARMOUR SQUARE,370,60000.0,15.2,6.5,85.0,30.0,1200.0,0.65,3.2,8.0,92.0,12.5,service,34.0
797,ASHBURN,1985,,,,,,,,,,,,,
2541,AUBURN GRESHAM,1592,55000.0,25.0,8.0,85.0,40.0,1500.0,0.65,3.0,7.0,90.0,15.0,service,34.0
5506,AUSTIN,3600,,,,,,,,,,,,,
420,AVALON PARK,356,65000.0,15.2,6.5,85.0,30.0,1200.0,0.65,3.2,8.0,92.0,12.0,service,34.0
689,AVONDALE,1106,60000.0,15.0,7.0,85.0,30.0,1200.0,0.65,3.0,8.0,90.0,12.0,service,34.0
1585,BELMONT CRAGIN,3031,65000.0,18.5,7.2,85.0,32.0,1500.0,0.65,3.0,8.0,90.0,12.0,service,34.0
160,BEVERLY,355,,,,,,,,,,,,,
1123,BRIDGEPORT,1043,60000.0,15.2,7.5,85.0,32.0,12000.0,0.65,3.0,8.0,90.0,12.0,service,34.0
1685,BRIGHTON PARK,1889,55000.0,18.2,7.5,85.4,32.1,1200.0,0.65,3.2,8.0,92.3,14.5,service,34.0
31,BURNSIDE,73,65000.0,15.2,6.5,87.3,32.1,1200.0,0.65,3.2,8.0,92.5,10.4,service,34.0
353,CALUMET HEIGHTS,431,55000.0,18.5,7.2,85.0,32.0,1200.0,0.65,3.0,8.0,90.0,12.0,service,35.0
1530,CHATHAM,940,60000.0,15.2,6.5,85.0,30.0,1200.0,0.65,3.0,8.0,92.0,12.0,service,34.0
2242,CHICAGO LAWN,2615,55000.0,18.5,7.2,85.0,35.0,1200.0,0.65,3.5,8.0,90.0,12.0,service,34.0
359,CLEARING,1002,,,,,,,,,,,,,
689,DOUGLAS,526,,,,,,,,,,,,,
761,DUNNING,1714,,,,,,,,,,,,,
1416,EAST GARFIELD PARK,462,45000.0,25.0,10.0,85.0,40.0,1500.0,0.7,3.0,8.0,75.0,20.0,service,32.0
712,EAST SIDE,1214,55000.0,18.5,7.2,85.0,35.0,1200.0,0.65,3.0,8.0,90.0,12.0,service,34.0
736,EDGEWATER,909,65000.0,12.5,6.2,88.0,30.0,1500.0,0.65,3.2,8.0,92.0,10.0,service,35.0
123,EDISON PARK,109,,,,,,,,,,,,,
