Household/family type,SERIALNO,INTP_adj
6,1,0.0
1,16,Other
1,16,Other
1,47,0.0
1,47,0.0
1,55,0.0
1,55,0.0
1,55,0.0
Other,194,Other
1,218,0.0
1,218,0.0
1,398,0.0
1,398,Other
1,414,0.0
1,414,0.0
1,414,0.0
1,463,0.0
1,463,0.0
1,463,0.0
1,463,0.0
1,721,0.0
1,721,0.0
1,721,0.0
1,721,0.0
1,721,0.0
1,721,0.0
1,721,0.0
1,721,0.0
1,721,0.0
1,721,0.0
1,721,0.0
1,721,0.0
3,739,0.0
3,739,0.0
Other,782,0.0
Other,782,Other
1,783,0.0
1,783,0.0
1,783,0.0
1,783,0.0
1,792,0.0
1,792,0.0
1,792,0.0
1,792,0.0
1,792,0.0
1,798,0.0
1,798,0.0
1,798,0.0
1,798,0.0
6,802,0.0
1,882,0.0
1,882,0.0
1,882,0.0
1,882,0.0
1,954,Other
1,954,Other
1,967,0.0
1,967,0.0
1,998,0.0
1,998,0.0
2,1021,0.0
2,1021,0.0
2,1021,0.0
2,1021,0.0
6,1054,0.0
3,1097,0.0
3,1097,0.0
1,1127,0.0
1,1127,0.0
6,1219,0.0
Other,1348,Other
Other,1348,Other
6,1357,0.0
1,1358,0.0
1,1358,0.0
1,1358,0.0
Other,1459,0.0
1,1545,0.0
1,1545,Other
1,1545,0.0
1,1545,0.0
2,1556,0.0
2,1556,0.0
2,1556,0.0
1,1761,Other
1,1761,0.0
1,1761,0.0
1,1761,0.0
1,1761,0.0
1,1761,0.0
1,1810,0.0
1,1810,0.0
1,1810,0.0
1,1810,0.0
1,1810,0.0
Other,1818,0.0
1,1845,0.0
1,1845,0.0
1,1845,0.0
6,1862,0.0
1,1969,0.0
1,1969,0.0
1,1969,0.0
1,1969,0.0
1,1982,0.0
1,1982,0.0
1,1982,0.0
1,1982,0.0
1,2028,0.0
1,2028,0.0
1,2028,0.0
1,2028,0.0
Other,2102,0.0
Other,2102,0.0
1,2131,0.0
1,2131,0.0
6,2158,0.0
6,2237,Other
1,2338,Other
1,2338,0.0
1,2338,0.0
Other,2381,Other
6,2387,Other
1,2476,0.0
1,2476,0.0
1,2476,0.0
1,2623,0.0
1,2623,0.0
1,2623,0.0
1,2658,0.0
1,2658,0.0
1,2660,0.0
1,2660,0.0
1,2660,0.0
1,2660,0.0
6,2715,0.0
1,2796,Other
1,2796,0.0
3,2860,0.0
3,2860,0.0
1,2876,0.0
1,2876,0.0
1,2876,0.0
1,2876,0.0
Other,2880,Other
1,2911,0.0
1,2911,0.0
1,3030,0.0
1,3030,0.0
1,3030,0.0
1,3030,0.0
6,3117,0.0
1,3194,0.0
1,3194,0.0
1,3194,0.0
1,3194,0.0
1,3194,0.0
1,3194,0.0
1,3194,0.0
3,3273,Other
3,3273,0.0
3,3273,0.0
3,3273,0.0
1,3335,0.0
1,3335,0.0
1,3335,0.0
1,3335,0.0
1,3346,Other
1,3346,0.0
2,3359,0.0
2,3359,0.0
2,3359,0.0
2,3359,0.0
2,3359,0.0
2,3359,0.0
Other,3445,0.0
6,3481,Other
3,3622,0.0
3,3622,0.0
3,3622,0.0
1,3765,Other
1,3765,0.0
1,3765,0.0
1,3765,0.0
1,3776,0.0
1,3776,0.0
Other,3803,0.0
Other,3803,0.0
Other,3803,0.0
3,3865,0.0
3,3865,0.0
3,3865,0.0
3,3865,0.0
3,3865,0.0
3,3865,0.0
3,3865,0.0
6,3872,0.0
1,3876,Other
1,3876,0.0
1,3876,0.0
1,3876,0.0
1,3959,0.0
1,3959,0.0
1,3959,0.0
1,3959,0.0
1,3959,0.0
1,3959,0.0
1,4062,0.0
1,4062,0.0
1,4082,0.0
1,4082,0.0
1,4082,0.0
1,4082,0.0
1,4138,0.0
1,4138,0.0
6,4315,0.0
1,4347,0.0
1,4347,0.0
1,4347,0.0
Other,4410,Other
Other,4410,0.0
3,17588,0.0
Other,4410,0.0
6,4485,0.0
1,4498,0.0
1,4498,0.0
6,4542,0.0
1,4572,0.0
1,4572,0.0
1,4572,Other
Other,4621,0.0
Other,4621,0.0
Other,4621,0.0
Other,4769,0.0
6,4920,0.0
3,4946,0.0
3,4946,0.0
3,4946,0.0
3,4946,0.0
3,4946,0.0
3,4946,0.0
1,4947,Other
1,4947,0.0
1,4947,0.0
1,4947,0.0
1,4947,0.0
1,4947,0.0
3,4962,0.0
3,4962,0.0
3,4962,0.0
1,5019,0.0
1,5019,0.0
1,5019,0.0
6,5220,0.0
6,5271,0.0
Other,5380,0.0
6,5430,0.0
Other,5442,0.0
Other,5442,0.0
Other,5442,0.0
Other,5442,Other
Other,5442,0.0
3,5637,0.0
3,5637,0.0
1,5666,0.0
1,5666,0.0
1,5666,0.0
1,5666,0.0
3,5676,0.0
3,5676,0.0
3,5676,0.0
2,5750,Other
2,5750,0.0
3,5774,0.0
3,5774,0.0
3,5774,0.0
Other,5779,0.0
1,5881,0.0
1,5881,0.0
1,5881,0.0
1,5881,0.0
1,6009,0.0
1,6009,0.0
1,6009,Other
1,6009,0.0
6,6070,0.0
Other,6078,0.0
1,6159,Other
1,6159,0.0
1,6159,0.0
1,6159,0.0
6,6178,0.0
6,6199,0.0
6,6309,0.0
6,6335,0.0
6,6430,0.0
1,6445,0.0
1,6445,0.0
1,6445,0.0
1,6445,0.0
1,6445,0.0
1,6464,Other
1,6464,Other
Other,6549,0.0
6,6587,0.0
1,6684,0.0
1,6684,0.0
1,6684,0.0
1,6684,0.0
3,6798,0.0
3,6798,0.0
2,6842,0.0
2,6842,0.0
2,6842,0.0
2,6842,0.0
1,6882,0.0
1,6882,Other
Other,6954,0.0
6,6972,0.0
6,7139,0.0
3,7218,0.0
3,7218,0.0
3,7218,0.0
1,7268,0.0
1,7268,0.0
1,7268,0.0
1,7268,0.0
1,7268,0.0
1,7268,0.0
6,7296,0.0
1,7309,0.0
1,7309,0.0
Other,7351,0.0
Other,7351,0.0
Other,7356,Other
Other,7356,0.0
1,7417,0.0
1,7417,0.0
1,7417,0.0
1,7417,0.0
6,7462,Other
Other,7503,0.0
Other,7555,0.0
1,7690,0.0
1,7690,0.0
Other,7698,Other
6,7704,0.0
6,7718,0.0
3,7736,0.0
3,7736,0.0
3,7736,0.0
3,7736,0.0
1,7879,0.0
1,7879,0.0
1,7879,0.0
Other,7964,Other
1,8007,0.0
1,8007,0.0
1,8007,0.0
1,8007,0.0
3,8108,0.0
3,8108,0.0
3,8108,0.0
3,8144,0.0
3,8144,0.0
6,8150,0.0
1,8168,0.0
1,8168,0.0
3,8172,0.0
3,8172,0.0
1,8211,0.0
1,8211,0.0
1,8211,0.0
1,8211,0.0
1,8244,0.0
1,8244,0.0
6,8446,0.0
1,8517,0.0
1,8517,0.0
1,8517,0.0
1,8517,0.0
1,8517,0.0
3,8530,0.0
3,8530,0.0
3,8530,0.0
3,8530,0.0
Other,8541,0.0
1,8601,0.0
1,8601,0.0
3,8786,0.0
3,8786,0.0
3,8786,0.0
3,8786,0.0
6,8877,0.0
3,8889,0.0
3,8889,0.0
1,8945,0.0
1,8945,0.0
1,8945,0.0
2,9063,0.0
2,9063,0.0
3,9086,0.0
3,9086,0.0
3,9086,0.0
3,9086,0.0
