Household/family type,SERIALNO,INTP_adj,median_income_by_neighborhood,average_household_size_by_neighborhood,unemployment_rate_by_neighborhood,education_level_distribution_by_neighborhood,crime_rate_by_neighborhood,average_rent_by_neighborhood,percentage_of_owner_occupied_homes_by_neighborhood
6,1,0.0,,,,,,,
1,16,101309.7,,,,,,,
1,16,50654.852,,,,,,,
1,47,0.0,,,,,,,
1,47,0.0,,,,,,,
1,55,0.0,,,,,,,
1,55,0.0,,,,,,,
1,55,0.0,,,,,,,
4,194,405.2388,,,,,,,
1,218,0.0,,,,,,,
1,218,0.0,,,,,,,
1,398,0.0,,,,,,,
1,398,39004.234,,,,,,,
1,414,0.0,,,,,,,
1,414,0.0,,,,,,,
1,414,0.0,,,,,,,
1,463,0.0,,,,,,,
1,463,0.0,,,,,,,
1,463,0.0,,,,,,,
1,463,0.0,,,,,,,
1,721,0.0,,,,,,,
1,721,0.0,,,,,,,
1,721,0.0,,,,,,,
1,721,0.0,,,,,,,
1,721,0.0,,,,,,,
1,721,0.0,,,,,,,
1,721,0.0,,,,,,,
1,721,0.0,,,,,,,
1,721,0.0,,,,,,,
1,721,0.0,,,,,,,
1,721,0.0,,,,,,,
1,721,0.0,,,,,,,
3,739,0.0,,,,,,,
3,739,0.0,,,,,,,
7,782,0.0,,,,,,,
7,782,81.04776,,,,,,,
1,783,0.0,,,,,,,
1,783,0.0,,,,,,,
1,783,0.0,,,,,,,
1,783,0.0,,,,,,,
1,792,0.0,,,,,,,
1,792,0.0,,,,,,,
1,792,0.0,,,,,,,
1,792,0.0,,,,,,,
1,792,0.0,,,,,,,
1,798,0.0,,,,,,,
1,798,0.0,,,,,,,
1,798,0.0,,,,,,,
1,798,0.0,,,,,,,
6,802,0.0,,,,,,,
1,882,0.0,,,,,,,
1,882,0.0,,,,,,,
1,882,0.0,,,,,,,
1,882,0.0,,,,,,,
1,954,466.02463,,,,,,,
1,954,2026.194,,,,,,,
1,967,0.0,,,,,,,
1,967,0.0,,,,,,,
1,998,0.0,,,,,,,
1,998,0.0,,,,,,,
2,1021,0.0,,,,,,,
2,1021,0.0,,,,,,,
2,1021,0.0,,,,,,,
2,1021,0.0,,,,,,,
6,1054,0.0,,,,,,,
3,1097,0.0,,,,,,,
3,1097,0.0,,,,,,,
1,1127,0.0,,,,,,,
1,1127,0.0,,,,,,,
6,1219,0.0,,,,,,,
7,1348,1013.097,,,,,,,
7,1348,17729.197,,,,,,,
6,1357,0.0,,,,,,,
1,1358,0.0,,,,,,,
1,1358,0.0,,,,,,,
1,1358,0.0,,,,,,,
4,1459,0.0,,,,,,,
1,1545,0.0,,,,,,,
1,1545,131.70261,,,,,,,
1,1545,0.0,,,,,,,
1,1545,0.0,,,,,,,
