CPS Performance Policy Status,School ID,Safety Icon ,average_attendance_rate,parent_engagement_score,teacher_collaboration_index,student_growth_metric,standardized_test_scores,algebra_pass_rate,freshman_on_track_rate,IEP_compliance_rate,college_enrollment_rate,safety_perception_score,environmental_quality_index,teacher_turnover_rate
Not on Probation,609966,Average,,,,,,,,,,,,
Not on Probation,610539,Average,,,,,,,,,,,,
Not on Probation,609852,Strong,,,,,,,,,,,,
Probation,609835,Average,,,,,,,,,,,,
Probation,610521,Weak,,,,,,,,,,,,
Not on Probation,609818,Weak,,,,,,,,,,,,
Not on Probation,610298,Strong,,,,,,,,,,,,
Probation,610200,Weak,,,,,,,,,,,,
Not on Probation,609680,Very Strong,,,,,,,,,,,,
Probation,610056,Weak,,,,,,,,,,,,
Probation,609848,Weak,,,,,,,,,,,,
Not on Probation,610038,Very Strong,,,,,,,,,,,,
Probation,610123,Strong,,,,,,,,,,,,
Not on Probation,609863,Strong,,,,,,,,,,,,
Probation,610226,NDA,,,,,,,,,,,,
Probation,609722,Average,,,,,,,,,,,,
Other,610308,NDA,,,,,,,,,,,,
Not on Probation,609749,Very Strong,,,,,,,,,,,,
Not on Probation,609958,Average,,,,,,,,,,,,
Not on Probation,610121,Average,,,,,,,,,,,,
Not on Probation,610352,Strong,,,,,,,,,,,,
Not on Probation,609856,Weak,,,,,,,,,,,,
Probation,609919,Other,,,,,,,,,,,,
Not on Probation,609938,Weak,,,,,,,,,,,,
Not on Probation,610212,Strong,,,,,,,,,,,,
Not on Probation,610239,Weak,,,,,,,,,,,,
Not on Probation,610523,Very Strong,,,,,,,,,,,,
Probation,610047,Weak,,,,,,,,,,,,
Probation,610244,NDA,,,,,,,,,,,,
Not on Probation,610013,Average,,,,,,,,,,,,
Not on Probation,610394,Average,,,,,,,,,,,,
Not on Probation,610243,Average,,,,,,,,,,,,
Not on Probation,610285,Weak,,,,,,,,,,,,
Not on Probation,609799,Very Strong,,,,,,,,,,,,
Probation,610257,Average,,,,,,,,,,,,
Not on Probation,609725,Average,,,,,,,,,,,,
Probation,610381,Average,,,,,,,,,,,,
Not on Probation,610251,Strong,,,,,,,,,,,,
Probation,609698,Weak,,,,,,,,,,,,
Probation,609712,Other,,,,,,,,,,,,
Not on Probation,610178,Average,,,,,,,,,,,,
Not on Probation,609853,Average,,,,,,,,,,,,
Not on Probation,609773,Average,,,,,,,,,,,,
Probation,610143,Average,,,,,,,,,,,,
Probation,610057,Weak,,,,,,,,,,,,
Not on Probation,609854,Very Strong,,,,,,,,,,,,
Probation,609961,Weak,,,,,,,,,,,,
Probation,610062,Average,,,,,,,,,,,,
Probation,610501,Weak,,,,,,,,,,,,
Not on Probation,610105,Very Strong,,,,,,,,,,,,
Probation,609837,Average,,,,,,,,,,,,
Probation,610054,Strong,,,,,,,,,,,,
Probation,610225,Average,,,,,,,,,,,,
Other,610280,Weak,,,,,,,,,,,,
Not on Probation,610392,Average,,,,,,,,,,,,
Probation,609777,Weak,,,,,,,,,,,,
Probation,609941,Other,,,,,,,,,,,,
Not on Probation,610060,Very Strong,,,,,,,,,,,,
Not on Probation,609772,Average,,,,,,,,,,,,
Probation,610385,Average,,,,,,,,,,,,
Other,610087,NDA,,,,,,,,,,,,
Not on Probation,609808,Weak,,,,,,,,,,,,
Not on Probation,609779,Average,,,,,,,,,,,,
Not on Probation,610535,Average,,,,,,,,,,,,
Not on Probation,609896,Strong,,,,,,,,,,,,
Not on Probation,610198,Weak,,,,,,,,,,,,
Probation,609862,Weak,,,,,,,,,,,,
Not on Probation,610117,Average,,,,,,,,,,,,
Probation,609756,Average,,,,,,,,,,,,
Probation,609739,Average,,,,,,,,,,,,
Not on Probation,609994,NDA,,,,,,,,,,,,
Not on Probation,610391,Strong,,,,,,,,,,,,
Probation,609917,Weak,,,,,,,,,,,,
Probation,610232,NDA,,,,,,,,,,,,
Probation,610305,NDA,,,,,,,,,,,,
Not on Probation,610316,Very Strong,,,,,,,,,,,,
Probation,610367,Weak,,,,,,,,,,,,
Probation,609764,Average,,,,,,,,,,,,
Probation,610004,Other,,,,,,,,,,,,
Not on Probation,610026,Strong,,,,,,,,,,,,
Probation,609997,Weak,,,,,,,,,,,,
Probation,610368,Weak,,,,,,,,,,,,
Not on Probation,610319,Strong,,,,,,,,,,,,
Probation,609713,Weak,,,,,,,,,,,,
Probation,609723,Average,,,,,,,,,,,,
Not on Probation,610291,Average,,,,,,,,,,,,
Not on Probation,609821,Strong,,,,,,,,,,,,
Probation,610129,Average,,,,,,,,,,,,
Probation,609883,Average,,,,,,,,,,,,
Probation,610271,Weak,,,,,,,,,,,,
Probation,610277,Weak,,,,,,,,,,,,
Not on Probation,609972,Average,,,,,,,,,,,,
Probation,609805,Weak,,,,,,,,,,,,
Not on Probation,610191,Strong,,,,,,,,,,,,
Probation,610114,Weak,,,,,,,,,,,,
Not on Probation,609737,Strong,,,,,,,,,,,,
Not on Probation,609842,Weak,,,,,,,,,,,,
Not on Probation,610016,Strong,,,,,,,,,,,,
Probation,609928,Weak,,,,,,,,,,,,
Probation,610192,Weak,,,,,,,,,,,,
Not on Probation,610174,Weak,,,,,,,,,,,,
Other,609745,NDA,,,,,,,,,,,,
Probation,609885,Average,,,,,,,,,,,,
Probation,610103,Other,,,,,,,,,,,,
Probation,609819,Other,,,,,,,,,,,,
Not on Probation,609944,Strong,,,,,,,,,,,,
Not on Probation,609817,Average,,,,,,,,,,,,
Not on Probation,609754,Weak,,,,,,,,,,,,
Not on Probation,609872,Average,,,,,,,,,,,,
Not on Probation,610534,NDA,,,,,,,,,,,,
Not on Probation,610543,Strong,,,,,,,,,,,,
Probation,609692,Average,,,,,,,,,,,,
Probation,609694,Average,,,,,,,,,,,,
Not on Probation,610039,Strong,,,,,,,,,,,,
Not on Probation,609861,Average,,,,,,,,,,,,
Not on Probation,610199,Strong,,,,,,,,,,,,
Probation,609695,Average,,,,,,,,,,,,
Probation,609708,Weak,,,,,,,,,,,,
Not on Probation,610231,Strong,,,,,,,,,,,,
Probation,609790,Weak,,,,,,,,,,,,
Probation,609913,Average,,,,,,,,,,,,
Other,609950,NDA,,,,,,,,,,,,
Probation,610051,Weak,,,,,,,,,,,,
Probation,610254,Average,,,,,,,,,,,,
Not on Probation,610070,Strong,,,,,,,,,,,,
Probation,609676,Weak,,,,,,,,,,,,
Not on Probation,610281,Average,,,,,,,,,,,,
Not on Probation,610216,Strong,,,,,,,,,,,,
Not on Probation,610220,Very Strong,,,,,,,,,,,,
Probation,609978,Weak,,,,,,,,,,,,
Probation,610043,Average,,,,,,,,,,,,
Probation,609732,Weak,,,,,,,,,,,,
Not on Probation,609741,Average,,,,,,,,,,,,
Not on Probation,610242,Average,,,,,,,,,,,,
Probation,610180,Weak,,,,,,,,,,,,
Not on Probation,610078,Strong,,,,,,,,,,,,
Probation,610234,Average,,,,,,,,,,,,
Not on Probation,609720,Very Strong,,,,,,,,,,,,
Probation,610074,Average,,,,,,,,,,,,
Probation,609729,Average,,,,,,,,,,,,
Probation,610208,Other,,,,,,,,,,,,
Probation,609736,Weak,,,,,,,,,,,,
Other,610504,NDA,,,,,,,,,,,,
Not on Probation,610304,Average,,,,,,,,,,,,
Not on Probation,609829,Average,,,,,,,,,,,,
Probation,610224,Weak,,,,,,,,,,,,
Not on Probation,610136,Very Strong,,,,,,,,,,,,
Probation,609674,Weak,,,,,,,,,,,,
Probation,610187,Average,,,,,,,,,,,,
Probation,609830,Weak,,,,,,,,,,,,
Probation,610279,Weak,,,,,,,,,,,,
Not on Probation,610355,Very Strong,,,,,,,,,,,,
Probation,610299,Other,,,,,,,,,,,,
Probation,610223,Weak,,,,,,,,,,,,
Probation,610036,Weak,,,,,,,,,,,,
Not on Probation,609828,Strong,,,,,,,,,,,,
Probation,610031,Average,,,,,,,,,,,,
Probation,610205,Average,,,,,,,,,,,,
Not on Probation,610229,Average,,,,,,,,,,,,
Not on Probation,610287,Average,,,,,,,,,,,,
Not on Probation,609924,Weak,,,,,,,,,,,,
Probation,610172,Weak,,,,,,,,,,,,
Not on Probation,609960,Average,,,,,,,,,,,,
Not on Probation,610269,Average,,,,,,,,,,,,
Probation,610366,Weak,,,,,,,,,,,,
Probation,610115,Weak,,,,,,,,,,,,
Not on Probation,609795,Weak,,,,,,,,,,,,
Not on Probation,610354,Strong,,,,,,,,,,,,
Probation,610146,Weak,,,,,,,,,,,,
Probation,609898,Average,,,,,,,,,,,,
Probation,609780,Weak,,,,,,,,,,,,
Not on Probation,610119,Average,,,,,,,,,,,,
Probation,610020,Weak,,,,,,,,,,,,
Probation,610037,Weak,,,,,,,,,,,,
Not on Probation,610170,Average,,,,,,,,,,,,
Not on Probation,609826,Weak,,,,,,,,,,,,
Not on Probation,610390,Strong,,,,,,,,,,,,
Not on Probation,610530,NDA,,,,,,,,,,,,
Probation,610044,Weak,,,,,,,,,,,,
Probation,609900,Weak,,,,,,,,,,,,
Not on Probation,610206,Strong,,,,,,,,,,,,
Not on Probation,610148,Average,,,,,,,,,,,,
Not on Probation,610147,Very Strong,,,,,,,,,,,,
Not on Probation,609804,Average,,,,,,,,,,,,
Probation,610133,NDA,,,,,,,,,,,,
Not on Probation,610179,Average,,,,,,,,,,,,
Not on Probation,610252,Average,,,,,,,,,,,,
Not on Probation,610405,NDA,,,,,,,,,,,,
Not on Probation,610061,Average,,,,,,,,,,,,
Probation,609929,Average,,,,,,,,,,,,
Not on Probation,609719,Strong,,,,,,,,,,,,
Not on Probation,610207,Strong,,,,,,,,,,,,
Probation,609768,Weak,,,,,,,,,,,,
Probation,609955,Weak,,,,,,,,,,,,
Not on Probation,610022,NDA,,,,,,,,,,,,
Not on Probation,610120,Average,,,,,,,,,,,,
Not on Probation,609793,Average,,,,,,,,,,,,
Not on Probation,610209,Average,,,,,,,,,,,,
Probation,609761,Weak,,,,,,,,,,,,
Not on Probation,610086,Weak,,,,,,,,,,,,
Probation,609969,Strong,,,,,,,,,,,,
Not on Probation,610017,Strong,,,,,,,,,,,,
Not on Probation,609926,Very Strong,,,,,,,,,,,,
Not on Probation,610073,Very Strong,,,,,,,,,,,,
Probation,609811,Other,,,,,,,,,,,,
Probation,609728,Average,,,,,,,,,,,,
Probation,610077,Weak,,,,,,,,,,,,
Not on Probation,609910,Average,,,,,,,,,,,,
Not on Probation,609995,Strong,,,,,,,,,,,,
Probation,610274,Strong,,,,,,,,,,,,
Not on Probation,609880,Very Strong,,,,,,,,,,,,
Probation,609881,Weak,,,,,,,,,,,,
Not on Probation,609850,Strong,,,,,,,,,,,,
Not on Probation,609809,Average,,,,,,,,,,,,
Not on Probation,609813,Weak,,,,,,,,,,,,
Probation,610193,Weak,,,,,,,,,,,,
Not on Probation,609760,Average,,,,,,,,,,,,
Not on Probation,609945,Strong,,,,,,,,,,,,
Probation,609968,NDA,,,,,,,,,,,,
Probation,609727,NDA,,,,,,,,,,,,
Probation,609933,Weak,,,,,,,,,,,,
Not on Probation,610142,Strong,,,,,,,,,,,,
Not on Probation,610158,Strong,,,,,,,,,,,,
Not on Probation,610063,NDA,,,,,,,,,,,,
Probation,610134,Average,,,,,,,,,,,,
Probation,610518,Average,,,,,,,,,,,,
Not on Probation,609979,Strong,,,,,,,,,,,,
Not on Probation,610503,Strong,,,,,,,,,,,,
Probation,610210,Weak,,,,,,,,,,,,
Not on Probation,610006,Strong,,,,,,,,,,,,
Probation,610169,Weak,,,,,,,,,,,,
Probation,610365,Average,,,,,,,,,,,,
Probation,609851,Weak,,,,,,,,,,,,
Probation,610233,Weak,,,,,,,,,,,,
Probation,609833,Weak,,,,,,,,,,,,
Probation,609904,Weak,,,,,,,,,,,,
Not on Probation,610094,Average,,,,,,,,,,,,
Probation,610276,Average,,,,,,,,,,,,
Not on Probation,610402,NDA,,,,,,,,,,,,
Not on Probation,610066,Very Strong,,,,,,,,,,,,
Not on Probation,610185,Strong,,,,,,,,,,,,
Not on Probation,609789,Weak,,,,,,,,,,,,
Not on Probation,610177,Very Strong,,,,,,,,,,,,
Probation,610241,Weak,,,,,,,,,,,,
Not on Probation,609715,Weak,,,,,,,,,,,,
Not on Probation,609925,Average,,,,,,,,,,,,
Probation,609967,Average,,,,,,,,,,,,
Other,610085,Average,,,,,,,,,,,,
Probation,609711,Weak,,,,,,,,,,,,
Not on Probation,610542,Strong,,,,,,,,,,,,
Not on Probation,610130,Weak,,,,,,,,,,,,
Not on Probation,610099,Very Strong,,,,,,,,,,,,
Probation,610116,NDA,,,,,,,,,,,,
Not on Probation,609989,Average,,,,,,,,,,,,
Probation,609707,Weak,,,,,,,,,,,,
Not on Probation,610112,Weak,,,,,,,,,,,,
Probation,610171,Weak,,,,,,,,,,,,
Not on Probation,609887,Average,,,,,,,,,,,,
Not on Probation,610137,Strong,,,,,,,,,,,,
Not on Probation,609942,Strong,,,,,,,,,,,,
Not on Probation,609922,Strong,,,,,,,,,,,,
Probation,609927,Other,,,,,,,,,,,,
Probation,610228,Strong,,,,,,,,,,,,
Probation,610345,Weak,,,,,,,,,,,,
Probation,609709,Other,,,,,,,,,,,,
Not on Probation,610184,Strong,,,,,,,,,,,,
Not on Probation,609788,Average,,,,,,,,,,,,
Probation,609902,NDA,,,,,,,,,,,,
Probation,609908,Weak,,,,,,,,,,,,
Not on Probation,610362,Weak,,,,,,,,,,,,
Probation,609844,Other,,,,,,,,,,,,
Probation,609930,Other,,,,,,,,,,,,
Probation,610021,NDA,,,,,,,,,,,,
Not on Probation,610139,Average,,,,,,,,,,,,
Probation,609730,Average,,,,,,,,,,,,
Probation,610339,Weak,,,,,,,,,,,,
Other,609871,NDA,,,,,,,,,,,,
Not on Probation,609782,Very Strong,,,,,,,,,,,,
Not on Probation,609954,Average,,,,,,,,,,,,
Not on Probation,610353,Average,,,,,,,,,,,,
Not on Probation,610132,Very Strong,,,,,,,,,,,,
Probation,609971,Average,,,,,,,,,,,,
Not on Probation,609857,Strong,,,,,,,,,,,,
Not on Probation,609734,Strong,,,,,,,,,,,,
Not on Probation,609796,Strong,,,,,,,,,,,,
Not on Probation,610084,Very Strong,,,,,,,,,,,,
Not on Probation,610529,Average,,,,,,,,,,,,
Probation,610030,Weak,,,,,,,,,,,,
Not on Probation,609952,NDA,,,,,,,,,,,,
