2009-2010 OVERALL GRADE,DBN,PEER INDEX*,2009-2010 ENVIRONMENT CATEGORY SCORE,ELL_PERCENTAGE,SPECIAL_EDUCATION_PERCENTAGE,TITLE_I_FREE_LUNCH_PERCENTAGE,BLACK_HISPANIC_PERCENTAGE,MIDDLE_SCHOOL_PREVIOUS_PROFICIENCY_RATE,HIGH_SCHOOL_PREVIOUS_PROFICIENCY_RATE,ELEMENTARY_K8_PEER_INDEX,MIDDLE_HIGH_PEER_INDEX,STUDENT_ATTENDANCE_RATE,SCHOOL_SIZE,PERCENTAGE_OF_EXTRACURRICULAR_ACTIVITIES,AVG_TEACHER_STUDENT_RATIO,SCHOOL_INFRASTRUCTURE_SCORE,PARENTAL_INVESTMENT_INDEX
C,01M015,62.65,7.2,,,,,,,,,,,,,,
C,01M019,48.94,6.4,,,,,,,,,,,,,,
A,01M020,57.68,9.3,,,,,,,,,,,,,,
B,01M034,66.75,6.8,,,,,,,,,,,,,,
B,01M063,57.55,7.8,,,,,,,,,,,,,,
C,01M064,61.5,10.3,,,,,,,,,,,,,,
Other,01M110,42.47,5.2,,,,,,,,,,,,,,
B,01M134,53.05,4.9,,,,,,,,,,,,,,
C,01M137,58.66,6.8,,,,,,,,,,,,,,
B,01M140,61.9,8.5,,,,,,,,,,,,,,
B,01M142,61.02,8.7,,,,,,,,,,,,,,
A,01M184,27.58,12.0,,,,,,,,,,,,,,
C,01M188,64.94,6.5,,,,,,,,,,,,,,
Other,01M292,2.16,5.0,,,,,,,,,,,,,,
C,01M292,2.31,3.2,,,,,,,,,,,,,,
C,01M301,2.31,7.1,,,,,,,,,,,,,,
C,01M315,32.44,5.8,,,,,,,,,,,,,,
B,01M332,2.12,6.8,,,,,,,,,,,,,,
B,01M345,2.72,6.4,,,,,,,,,,,,,,
C,01M361,35.38,8.2,,,,,,,,,,,,,,
C,01M363,33.79,6.8,,,,,,,,,,,,,,
Other,01M364,31.8,8.6,,,,,,,,,,,,,,
B,01M378,2.49,11.3,,,,,,,,,,,,,,
C,01M448,2.24,5.2,,,,,,,,,,,,,,
A,01M450,2.42,13.5,,,,,,,,,,,,,,
A,01M450,2.21,11.1,,,,,,,,,,,,,,
B,01M509,2.01,8.4,,,,,,,,,,,,,,
A,01M515,2.75,9.8,,,,,,,,,,,,,,
B,01M539,3.55,8.1,,,,,,,,,,,,,,
A,01M539,12.97,6.8,,,,,,,,,,,,,,
A,01M650,2.59,11.1,,,,,,,,,,,,,,
B,01M696,3.81,11.4,,,,,,,,,,,,,,
A,01M839,2.8,12.3,,,,,,,,,,,,,,
B,02M001,39.34,4.4,,,,,,,,,,,,,,
A,02M002,40.23,8.6,,,,,,,,,,,,,,
B,02M003,17.09,8.5,,,,,,,,,,,,,,
B,02M006,12.51,5.8,,,,,,,,,,,,,,
A,02M011,40.45,12.4,,,,,,,,,,,,,,
A,02M033,50.44,13.6,,,,,,,,,,,,,,
A,02M040,15.55,9.2,,,,,,,,,,,,,,
B,02M041,11.69,9.8,,,,,,,,,,,,,,
A,02M042,36.63,11.7,,,,,,,,,,,,,,
A,02M047,1.67,11.1,,,,,,,,,,,,,,
,02M047,,,,,,,,,,,,,,,,
B,02M051,49.51,11.2,,,,,,,,,,,,,,
B,02M059,19.37,9.2,,,,,,,,,,,,,,
A,02M077,9.83,7.6,,,,,,,,,,,,,,
B,02M089,11.57,8.2,,,,,,,,,,,,,,
B,02M104,3.13,6.8,,,,,,,,,,,,,,
B,02M111,52.01,5.5,,,,,,,,,,,,,,
A,02M114,3.62,13.2,,,,,,,,,,,,,,
B,02M116,20.28,8.2,,,,,,,,,,,,,,
A,02M124,26.08,7.7,,,,,,,,,,,,,,
A,02M126,40.66,7.7,,,,,,,,,,,,,,
A,02M130,27.53,13.1,,,,,,,,,,,,,,
B,02M131,2.89,9.2,,,,,,,,,,,,,,
B,02M150,14.53,9.4,,,,,,,,,,,,,,
A,02M158,18.68,3.9,,,,,,,,,,,,,,
B,02M167,3.11,7.4,,,,,,,,,,,,,,
B,02M183,14.61,8.6,,,,,,,,,,,,,,
B,02M198,50.02,4.3,,,,,,,,,,,,,,
A,02M212,23.15,10.4,,,,,,,,,,,,,,
B,02M217,35.99,7.8,,,,,,,,,,,,,,
B,02M225,41.34,6.3,,,,,,,,,,,,,,
B,02M234,9.11,9.1,,,,,,,,,,,,,,
B,02M255,3.58,10.0,,,,,,,,,,,,,,
A,02M260,2.96,11.4,,,,,,,,,,,,,,
A,02M288,2.44,9.7,,,,,,,,,,,,,,
B,02M289,3.37,9.6,,,,,,,,,,,,,,
A,02M290,13.17,12.1,,,,,,,,,,,,,,
A,02M294,2.28,11.8,,,,,,,,,,,,,,
A,02M296,2.28,10.2,,,,,,,,,,,,,,
A,02M298,2.82,10.2,,,,,,,,,,,,,,
B,02M300,2.5,10.8,,,,,,,,,,,,,,
B,02M303,2.16,10.6,,,,,,,,,,,,,,
B,02M305,2.52,8.3,,,,,,,,,,,,,,
A,02M308,2.22,10.7,,,,,,,,,,,,,,
A,02M312,3.64,10.7,,,,,,,,,,,,,,
Other,02M313,2.36,10.4,,,,,,,,,,,,,,
B,02M316,2.34,10.1,,,,,,,,,,,,,,
B,02M347,64.27,10.3,,,,,,,,,,,,,,
B,02M374,2.58,6.4,,,,,,,,,,,,,,
,02M376,3.33,,,,,,,,,,,,,,,
,02M392,2.74,,,,,,,,,,,,,,,
,02M393,2.45,,,,,,,,,,,,,,,
,02M394,2.5,,,,,,,,,,,,,,,
,02M399,2.65,,,,,,,,,,,,,,,
B,02M400,2.78,8.1,,,,,,,,,,,,,,
B,02M407,2.68,12.6,,,,,,,,,,,,,,
C,02M407,3.52,11.0,,,,,,,,,,,,,,
A,02M408,3.25,9.3,,,,,,,,,,,,,,
A,02M408,3.64,7.1,,,,,,,,,,,,,,
A,02M411,3.45,10.0,,,,,,,,,,,,,,
A,02M412,3.22,9.3,,,,,,,,,,,,,,
A,02M413,2.85,10.4,,,,,,,,,,,,,,
B,02M413,3.2,7.8,,,,,,,,,,,,,,
A,02M414,2.97,6.1,,,,,,,,,,,,,,
A,02M416,3.6,11.5,,,,,,,,,,,,,,
A,02M418,3.34,11.9,,,,,,,,,,,,,,
C,02M419,2.24,8.1,,,,,,,,,,,,,,
C,02M420,2.93,8.3,,,,,,,,,,,,,,
,02M422,2.98,,,,,,,,,,,,,,,
B,02M425,2.38,8.2,,,,,,,,,,,,,,
C,02M429,1.94,8.0,,,,,,,,,,,,,,
A,02M439,3.0,12.9,,,,,,,,,,,,,,
,02M440,,,,,,,,,,,,,,,,
C,02M442,31.38,11.5,,,,,,,,,,,,,,
C,02M449,2.29,11.6,,,,,,,,,,,,,,
A,02M459,2.52,13.5,,,,,,,,,,,,,,
C,02M460,2.18,8.4,,,,,,,,,,,,,,
B,02M473,,10.4,,,,,,,,,,,,,,
A,02M475,4.03,8.9,,,,,,,,,,,,,,
C,02M489,2.79,6.4,,,,,,,,,,,,,,
A,02M500,1.95,12.8,,,,,,,,,,,,,,
A,02M519,3.18,6.4,,,,,,,,,,,,,,
Other,02M520,2.47,5.7,,,,,,,,,,,,,,
B,02M529,2.48,6.2,,,,,,,,,,,,,,
A,02M531,2.82,9.6,,,,,,,,,,,,,,
A,02M542,2.32,12.3,,,,,,,,,,,,,,
A,02M543,2.38,8.4,,,,,,,,,,,,,,
C,02M544,2.31,15.0,,,,,,,,,,,,,,
A,02M545,3.14,9.4,,,,,,,,,,,,,,
A,02M550,2.29,7.6,,,,,,,,,,,,,,
A,02M551,2.2,9.9,,,,,,,,,,,,,,
B,02M560,2.56,8.3,,,,,,,,,,,,,,
A,02M565,2.99,15.0,,,,,,,,,,,,,,
Other,02M570,2.36,5.4,,,,,,,,,,,,,,
A,02M575,2.44,12.5,,,,,,,,,,,,,,
C,02M580,2.43,10.4,,,,,,,,,,,,,,
A,02M586,2.0,5.9,,,,,,,,,,,,,,
A,02M600,2.74,7.5,,,,,,,,,,,,,,
B,02M605,2.73,6.2,,,,,,,,,,,,,,
C,02M615,2.4,6.1,,,,,,,,,,,,,,
Other,02M620,2.2,4.3,,,,,,,,,,,,,,
Other,02M625,2.24,6.6,,,,,,,,,,,,,,
B,02M630,2.83,5.4,,,,,,,,,,,,,,
A,02M655,2.26,6.7,,,,,,,,,,,,,,
C,02M655,2.59,4.3,,,,,,,,,,,,,,
,02M690,,,,,,,,,,,,,,,,
C,02M896,2.41,8.6,,,,,,,,,,,,,,
B,03M009,20.05,10.7,,,,,,,,,,,,,,
,03M044,,,,,,,,,,,,,,,,
B,03M054,3.45,7.9,,,,,,,,,,,,,,
C,03M075,47.63,4.8,,,,,,,,,,,,,,
C,03M076,58.84,3.9,,,,,,,,,,,,,,
C,03M084,43.87,3.5,,,,,,,,,,,,,,
B,03M087,18.92,4.3,,,,,,,,,,,,,,
B,03M145,59.05,3.1,,,,,,,,,,,,,,
B,03M149,59.72,7.1,,,,,,,,,,,,,,
C,03M163,41.28,8.0,,,,,,,,,,,,,,
B,03M165,57.47,7.7,,,,,,,,,,,,,,
Other,03M166,25.24,6.5,,,,,,,,,,,,,,
C,03M180,55.03,11.9,,,,,,,,,,,,,,
C,03M185,59.62,9.2,,,,,,,,,,,,,,
C,03M191,53.96,5.4,,,,,,,,,,,,,,
A,03M199,12.19,7.5,,,,,,,,,,,,,,
C,03M208,61.71,9.4,,,,,,,,,,,,,,
C,03M241,62.42,7.0,,,,,,,,,,,,,,
C,03M242,57.47,5.5,,,,,,,,,,,,,,
B,03M243,3.64,13.8,,,,,,,,,,,,,,
B,03M245,3.24,12.1,,,,,,,,,,,,,,
,03M246,,,,,,,,,,,,,,,,
A,03M247,2.4,13.7,,,,,,,,,,,,,,
A,03M250,2.38,15.0,,,,,,,,,,,,,,
C,03M256,2.03,7.1,,,,,,,,,,,,,,
A,03M258,2.43,10.9,,,,,,,,,,,,,,
C,03M283,2.21,6.8,,,,,,,,,,,,,,
B,03M299,2.15,8.0,,,,,,,,,,,,,,
A,03M307,2.19,9.4,,,,,,,,,,,,,,
C,03M333,24.69,7.5,,,,,,,,,,,,,,
A,03M334,6.5,13.4,,,,,,,,,,,,,,
,03M402,2.21,,,,,,,,,,,,,,,
,03M403,2.24,,,,,,,,,,,,,,,
,03M404,2.38,,,,,,,,,,,,,,,
B,03M415,2.08,5.0,,,,,,,,,,,,,,
C,03M415,2.41,2.4,,,,,,,,,,,,,,
,03M421,2.29,,,,,,,,,,,,,,,
,03M470,,,,,,,,,,,,,,,,
A,03M479,3.51,9.3,,,,,,,,,,,,,,
A,03M485,3.64,7.4,,,,,,,,,,,,,,
A,03M492,2.33,8.5,,,,,,,,,,,,,,
B,03M494,2.34,6.8,,,,,,,,,,,,,,
B,03M505,1.94,8.2,,,,,,,,,,,,,,
B,03M541,3.26,11.2,,,,,,,,,,,,,,
C,03M577,,2.0,,,,,,,,,,,,,,
A,03M859,8.0,6.5,,,,,,,,,,,,,,
C,03M860,2.28,7.9,,,,,,,,,,,,,,
C,03M860,2.35,3.2,,,,,,,,,,,,,,
A,03M862,3.07,9.9,,,,,,,,,,,,,,
A,04M007,58.46,7.7,,,,,,,,,,,,,,
A,04M012,39.33,9.8,,,,,,,,,,,,,,
C,04M013,2.13,4.1,,,,,,,,,,,,,,
B,04M037,61.02,10.1,,,,,,,,,,,,,,
C,04M038,63.08,4.6,,,,,,,,,,,,,,
C,04M045,2.19,6.6,,,,,,,,,,,,,,
C,04M050,63.78,5.1,,,,,,,,,,,,,,
A,04M057,62.56,14.3,,,,,,,,,,,,,,
A,04M072,65.94,12.1,,,,,,,,,,,,,,
A,04M083,59.17,11.4,,,,,,,,,,,,,,
C,04M096,63.09,3.2,,,,,,,,,,,,,,
,04M101,,,,,,,,,,,,,,,,
A,04M102,74.03,9.1,,,,,,,,,,,,,,
B,04M108,61.42,11.8,,,,,,,,,,,,,,
B,04M112,64.23,10.0,,,,,,,,,,,,,,
,04M117,,,,,,,,,,,,,,,,
C,04M146,73.23,5.9,,,,,,,,,,,,,,
B,04M155,69.02,8.8,,,,,,,,,,,,,,
A,04M171,57.4,8.9,,,,,,,,,,,,,,
A,04M182,63.96,9.4,,,,,,,,,,,,,,
C,04M206,64.11,8.0,,,,,,,,,,,,,,
C,04M224,3.43,7.7,,,,,,,,,,,,,,
A,04M372,1.99,12.4,,,,,,,,,,,,,,
B,04M375,67.68,7.3,,,,,,,,,,,,,,
A,04M377,2.11,7.3,,,,,,,,,,,,,,
C,04M381,2.08,7.7,,,,,,,,,,,,,,
,04M406,2.23,,,,,,,,,,,,,,,
