AREA,DISTRICT,SAFETY
area_5,Other,63.35
,,64.39
area_5,Other,69.18
area_3,Other,70.75
,,63.14
area_2,Other,58.87
area_5,Other,64.86
area_2,Other,54.48
area_4,Other,57.35
area_4,Other,57.21
area_4,Other,51.22
area_2,Other,57.31
area_4,Other,41.87
area_2,Other,54.6
area_1,Other,47.42
area_4,Other,53.79
area_3,Other,56.56
area_5,25.0,52.9
area_5,Other,69.33
area_5,Other,63.5
area_3,Other,49.76
area_3,Other,49.02
area_3,Other,55.72
area_5,25.0,62.93
area_1,Other,50.77
Other,,65.47
area_4,Other,58.8
area_1,Other,60.48
area_5,Other,60.74
area_5,25.0,66.9
area_2,Other,58.06
area_3,Other,62.8
area_3,Other,57.6
area_4,Other,54.24
area_1,Other,47.44
area_4,Other,59.91
area_4,Other,56.37
area_1,Other,46.62
area_1,Other,63.2
area_5,Other,65.93
area_2,Other,43.49
area_1,Other,50.97
area_1,Other,56.03
area_3,Other,57.94
area_1,Other,49.62
area_5,Other,59.06
Other,,65.24
area_3,Other,64.89
area_4,Other,47.16
area_3,Other,64.24
area_1,Other,45.89
area_4,Other,50.24
area_1,Other,46.15
area_5,Other,68.55
area_2,Other,57.92
area_2,Other,57.5
area_5,Other,68.24
area_2,,55.0
area_4,Other,40.96
area_3,Other,69.94
area_3,Other,58.19
area_2,,55.45
area_1,Other,49.2
area_5,Other,69.41
area_3,Other,67.62
area_5,Other,64.67
area_1,Other,55.62
area_4,Other,53.91
area_2,Other,56.62
area_4,Other,47.88
area_3,Other,64.5
area_5,25.0,45.66
area_5,Other,72.04
area_2,Other,61.27
area_5,Other,74.03
area_2,Other,59.15
area_1,Other,46.42
area_5,,63.59
area_5,Other,63.93
area_2,Other,51.84
area_1,,54.86
area_1,Other,63.93
area_2,Other,49.57
area_1,Other,51.51
area_1,Other,55.31
area_1,Other,43.32
area_3,Other,78.75
area_2,Other,52.88
area_1,Other,54.28
area_5,Other,66.33
area_1,Other,59.76
area_5,25.0,59.45
area_3,Other,56.8
area_4,Other,50.27
area_3,Other,67.48
area_4,Other,54.27
area_5,Other,64.56
area_1,Other,59.61
area_3,Other,48.59
area_2,Other,57.86
area_3,,57.62
area_1,Other,50.47
area_4,Other,51.41
area_5,25.0,67.55
area_1,Other,59.74
area_1,Other,48.5
area_2,Other,59.8
area_4,Other,48.91
area_5,Other,62.87
area_3,Other,67.1
area_1,Other,64.64
area_1,Other,59.68
area_5,Other,69.97
Other,,66.85
area_4,Other,51.57
area_3,Other,66.17
area_1,Other,52.72
area_2,Other,45.63
area_3,Other,66.62
area_3,Other,62.73
area_1,Other,53.65
area_3,Other,60.32
area_4,Other,49.36
area_1,Other,51.87
area_3,Other,68.53
area_3,Other,70.91
area_3,Other,52.19
area_5,Other,60.72
area_3,Other,68.24
area_2,Other,57.32
area_4,Other,55.34
area_5,Other,63.93
area_3,Other,67.56
area_3,Other,61.32
area_1,Other,45.38
area_1,Other,55.95
area_3,Other,71.81
area_5,Other,73.57
area_5,Other,65.6
area_1,Other,56.89
area_4,Other,48.12
area_4,Other,53.9
area_3,Other,59.1
area_3,Other,63.3
area_2,Other,54.05
area_4,Other,46.06
area_4,Other,57.74
area_2,,56.89
area_5,25.0,54.42
area_2,,54.67
area_2,Other,58.24
area_1,Other,52.75
area_4,,60.24
area_1,Other,62.39
area_1,Other,50.58
area_2,Other,41.42
area_5,Other,65.92
area_5,25.0,65.03
area_5,Other,77.43
area_5,Other,57.29
Other,,64.22
area_3,Other,73.99
area_3,Other,62.1
area_3,Other,65.09
area_3,Other,56.63
area_5,25.0,65.37
area_4,Other,48.23
area_2,Other,52.67
area_2,Other,43.95
area_1,Other,56.25
area_1,Other,54.25
area_1,Other,42.52
area_3,Other,54.85
area_4,Other,45.23
area_3,Other,55.03
area_3,Other,58.98
area_5,25.0,62.58
area_3,Other,63.89
area_4,Other,55.8
area_2,Other,44.35
area_5,25.0,53.49
area_2,Other,62.52
area_5,,61.15
area_3,,67.63
area_5,25.0,61.86
area_3,Other,61.59
area_4,Other,59.43
area_1,Other,53.95
area_1,Other,51.91
area_4,Other,56.82
area_2,Other,54.83
area_3,Other,50.38
area_2,Other,46.44
area_1,Other,45.5
area_3,Other,61.51
area_1,Other,49.63
area_1,Other,57.06
area_1,Other,58.93
area_3,Other,65.79
area_2,Other,58.45
area_1,Other,55.44
area_5,Other,69.17
area_3,Other,65.39
area_3,Other,64.22
area_2,Other,58.4
area_3,Other,58.38
area_2,Other,45.18
area_1,Other,54.11
area_1,Other,59.21
area_5,Other,79.57
area_3,Other,47.0
area_4,Other,59.74
area_1,Other,46.62
Other,,61.57
area_1,Other,43.71
Other,,62.41
area_3,Other,69.58
area_3,Other,58.0
area_5,Other,59.17
area_3,Other,59.07
area_5,25.0,59.49
area_1,Other,57.15
area_1,Other,49.74
area_3,Other,67.95
Other,,66.45
area_3,Other,59.88
area_4,Other,49.96
area_4,Other,41.92
Other,,56.05
area_4,Other,55.51
area_1,Other,58.99
area_1,Other,55.05
area_2,Other,59.19
area_3,Other,67.18
area_1,Other,43.47
area_2,Other,49.04
area_5,Other,64.56
area_2,Other,56.81
area_1,Other,49.06
area_2,Other,57.82
area_5,Other,65.02
area_2,,48.91
,,56.99
area_5,Other,66.66
area_3,Other,43.17
area_5,Other,65.03
area_3,Other,58.12
Other,,68.67
area_3,Other,61.85
area_2,Other,51.26
area_1,Other,48.25
area_3,Other,63.74
area_1,Other,47.13
Other,,66.77
area_3,Other,69.36
area_4,,46.3
area_3,Other,65.32
area_2,Other,51.2
area_1,Other,49.13
area_3,Other,69.68
area_2,Other,51.41
area_5,Other,61.49
area_5,Other,59.16
area_4,Other,47.87
area_4,,48.38
area_5,Other,57.0
area_2,Other,54.92
area_3,Other,71.48
area_1,Other,60.74
,,51.93
area_2,Other,62.47
area_3,Other,60.62
area_4,Other,42.04
area_1,Other,50.6
area_4,Other,50.7
area_5,Other,68.63
area_4,Other,57.31
area_2,Other,56.19
area_2,Other,56.83
area_2,Other,50.67
area_2,Other,54.71
area_3,Other,55.44
area_2,Other,59.43
area_1,Other,40.91
Other,,54.52
area_1,Other,61.64
area_3,Other,52.46
area_1,Other,49.94
area_2,Other,58.98
area_3,Other,70.16
area_3,Other,63.96
area_3,,64.82
area_1,Other,58.96
area_3,Other,65.16
area_4,Other,55.51
area_1,Other,53.33
area_5,Other,66.07
area_4,Other,51.85
area_3,Other,66.08
area_5,Other,68.07
area_3,Other,60.38
area_3,Other,62.51
area_4,Other,55.33
area_2,Other,65.96
area_1,Other,59.4
area_5,Other,69.05
area_3,Other,63.62
area_5,Other,66.66
area_5,25.0,57.63
area_4,,48.28
area_2,Other,59.87
area_3,Other,51.57
area_5,,66.08
area_5,Other,70.97
area_2,Other,52.94
area_3,Other,53.25
area_5,Other,67.31
area_5,Other,63.06
area_2,Other,52.18
area_3,Other,64.13
area_4,Other,48.65
area_5,Other,63.97
area_3,Other,52.45
area_2,Other,48.71
Other,,62.9
area_4,,48.62
area_2,Other,59.47
area_1,Other,49.73
area_3,Other,63.66
area_3,Other,42.78
area_3,Other,67.33
area_3,,57.03
area_3,Other,61.2
area_1,Other,56.18
Other,,55.61
area_3,Other,59.4
area_4,Other,45.99
area_1,Other,58.38
area_1,Other,53.29
area_2,Other,60.92
area_3,Other,58.37
area_1,Other,60.57
area_3,Other,67.09
area_5,Other,60.34
area_4,Other,46.41
area_5,Other,69.42
area_2,Other,48.5
