Police Precinct/Geographic Location,Overall DV Rate,Shootings
1,106.0,6
5,160.47,14
6,67.62,5
7,317.71,34
9,227.85,26
10,198.24,19
13,107.83,14
14,406.1,29
17,75.86,4
18,170.96,10
19,68.94,11
20,75.16,14
22,7692.31,1
23,567.42,112
24,156.0,28
25,521.96,117
26,271.07,30
28,402.06,87
30,284.34,49
32,608.11,151
33,212.3,43
34,219.21,118
40,737.57,216
41,717.31,103
42,772.78,186
43,487.3,139
44,467.16,240
45,255.57,44
46,518.75,166
47,514.52,194
48,643.4,208
49,356.41,84
50,233.57,36
52,415.77,124
60,316.73,69
61,144.29,29
62,125.29,14
63,209.68,47
66,80.1,8
67,355.44,189
68,125.15,7
69,377.05,106
70,212.99,79
71,269.67,95
72,140.31,32
73,782.39,286
75,497.27,326
76,251.46,39
77,359.25,156
78,139.0,17
79,358.02,170
81,437.75,124
83,281.04,75
84,169.01,30
88,274.14,41
90,183.93,55
94,159.26,24
100,297.89,41
101,502.86,105
102,239.42,46
103,398.3,120
104,184.71,24
105,226.72,100
106,292.85,46
107,183.26,26
108,163.28,23
109,118.72,24
110,179.34,41
111,86.5,6
112,108.43,4
113,366.2,128
114,220.71,82
115,178.97,49
120,397.1,82
121,261.87,36
122,194.98,7
123,131.92,5
Bronx,487.98,1740
Brooklyn,261.13,2018
Manhattan,215.53,922
Queens,213.94,865
Staten Island,248.5,130
New York City,,5674
